"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created"
"Kingsville","2206	","Texas","SCAN","Kleberg","67","27.54945","-97.88223","121102040409	",,"3-14-2024, 12:19 PM MDT"
"Kinlichee Ck","KINLCHEE	","Arizona","Streamflow","Apache","6570","35.7435","-109.4439","150200110108	",,"3-14-2024, 12:19 PM MDT"
"Kirbyville Lake","2A25	","British Columbia","Snow Course/Aerial Marker","	","5741","51.57611","-118.77944","170200200000	",,"3-14-2024, 12:19 PM MDT"
"Kirwin","560	","Wyoming","SNOTEL","Park","9550","43.86067","-109.32163","100800090101	",,"3-14-2024, 12:19 PM MDT"
"Kishenehn","14A06	","Montana","Snow Course/Aerial Marker","Flathead","3890","48.95832","-114.42037","170102060312	",,"3-14-2024, 12:19 PM MDT"
"Klesilkwa","3D03A	","British Columbia","Snow Course/Aerial Marker","	","3855","49.11861","-121.305","171100050302	",,"3-14-2024, 12:19 PM MDT"
"Klickitat R nr Glenwood","14107000	","Washington","Streamflow","Yakima","2720","46.26484","-121.24508","170701060104	",,"3-14-2024, 12:19 PM MDT"
"Klickitat R nr Pitt","14113000	","Washington","Streamflow","Klickitat","289","45.75651","-121.21007","170701060409	",,"3-14-2024, 12:19 PM MDT"
"Klondike Narrows","1115	","Utah","SNOTEL","Cache","7250","41.96769","-111.59713","160102030302	",,"3-14-2024, 12:19 PM MDT"
"Knight Diversion","09279200	","Utah","Streamflow","Duchesne","5786","40.25377","-110.41408","140600030402	",,"3-14-2024, 12:19 PM MDT"
"Knobs","4715	","Montana","ACIS","Fallon","3000","45.91666","-104.08333","101102020607	",,"3-14-2024, 12:19 PM MDT"
"Knox City","2201	","Texas","SCAN","Knox","1448","33.44635","-99.86657","120601010206	",,"3-14-2024, 12:19 PM MDT"
"Koch Creek","2B07	","British Columbia","Snow Course/Aerial Marker","	","6102","49.72861","-117.98278","170200010702	",,"3-14-2024, 12:19 PM MDT"
"Kodiak WSO Airport","4988	","Alaska","ACIS","Kodiak Island","20","57.75","-152.5","190207011506	",,"3-14-2024, 12:19 PM MDT"
"Kolob","561	","Utah","SNOTEL","Iron","9263","37.52664","-113.05386","150100080102	",,"3-14-2024, 12:19 PM MDT"
"Kolob Reservoir","09UTKOLB	","Utah","Reservoir","Washington","8118","37.43333","-113.03583","150100080106	",,"3-14-2024, 12:19 PM MDT"
"Kootenai R at Leonia","12305000	","Montana","Streamflow","Lincoln","1830","48.61772","-116.04741","170101040203	",,"3-14-2024, 12:19 PM MDT"
"Koptis Farms","2180	","Alabama","SCAN","Baldwin","135","30.5238","-87.69797","031602050202	",,"3-14-2024, 12:19 PM MDT"
"Kostal Lake","1E10P	","British Columbia","Cooperator Snow Sensors","	","5774","52.2","-120.01667","	",,"3-14-2024, 12:19 PM MDT"
"Kotzebue WSO Airport","5076	","Alaska","ACIS","Northwest Arctic","10","66.86666","-162.63333","190504031804	",,"3-14-2024, 12:19 PM MDT"
"Kraft Creek","562	","Montana","SNOTEL","Missoula","4750","47.42749","-113.77515","170102110104	",,"3-14-2024, 12:19 PM MDT"
"Ku-Nesa","2147	","Kansas","SCAN","Jefferson","1102","39.05141","-95.19128","102701040502	",,"3-14-2024, 12:19 PM MDT"
"Kukuihaele","2097	","Hawaii","SCAN","Hawaii","947","20.0955","-155.50864","200100000203	",,"3-14-2024, 12:19 PM MDT"
"Kuparuk","5136	","Alaska","ACIS","North Slope","60","70.31666","-149.58333","190604011501	",,"3-14-2024, 12:19 PM MDT"
"Kuparuk R nr Deadhorse","15896000	","Alaska","Streamflow","North Slope","0","70.28139","-148.96279","190604011306	",,"3-14-2024, 12:19 PM MDT"
"Kuskokwim R at Crooked Creek","15304000	","Alaska","Streamflow","Bethel","150","61.86874","-158.11378","190305011102	",,"3-14-2024, 12:19 PM MDT"
"Kwadacha River","4A27P	","British Columbia","Cooperator Snow Sensors","	","5561","57.61667","-125.06667","	",,"3-14-2024, 12:19 PM MDT"
"Kyle Canyon","15N05	","Nevada","Snow Course/Aerial Marker","Clark","8300","36.27325","-115.67467","150100150301	",,"3-14-2024, 12:19 PM MDT"
"Kyle Canyon","2141	","Nevada","SCAN","Clark","7046","36.26527","-115.60852","150100150301	",,"3-14-2024, 12:19 PM MDT"
"L Humboldt R nr Paradise Valley","10329000	","Nevada","Streamflow","Humboldt","4470","41.41582","-117.37351","160401090704	",,"3-14-2024, 12:19 PM MDT"
"L Truckee R ab Boca Reservoir","10344400	","California","Streamflow","Nevada","5619","39.43574","-120.08437","160501020107	",,"3-14-2024, 12:19 PM MDT"
"LTSP","2230	","Missouri","SCAN","Shannon","890","37.18167","-91.11778","110100080503	",,"3-14-2024, 12:19 PM MDT"
"La Cueva Canal","07215000	","New Mexico","Streamflow","Mora","7100","35.96542","-105.2936","110800040308	",,"3-14-2024, 12:19 PM MDT"
"La Grande","4622	","Oregon","ACIS","Union","2750","45.31666","-118.08333","170601040603	",,"3-14-2024, 12:19 PM MDT"
"La Jara Ck nr Capulin","08238000	","Colorado","Streamflow","Conejos","8130","37.2089","-106.18836","130100020407	",,"3-14-2024, 12:19 PM MDT"
"La Jara Reservoir","2103582	","Colorado","Reservoir","Conejos","9700","37.24465","-106.34067","130100020402	",,"3-14-2024, 12:19 PM MDT"
"La Plata R at Hesperus","09365500	","Colorado","Streamflow","La Plata","8105","37.28972","-108.04063","140801050102	",,"3-14-2024, 12:19 PM MDT"
"La Prele Ck nr Douglas","06649000	","Wyoming","Streamflow","Converse","5600","42.68108","-105.63055","101800071203	",,"3-14-2024, 12:19 PM MDT"
"La Veta Pass","05M01	","Colorado","Snow Course/Aerial Marker","Costilla","9440","37.6","-105.2","130100020502	",,"3-14-2024, 12:19 PM MDT"
"Lahontan","4349	","Nevada","ACIS","Churchill","4150","39.46666","-119.06666","160502030900	",,"3-14-2024, 12:19 PM MDT"
"Lahontan Reservoir","10312100	","Nevada","Reservoir","Churchill","4162","39.46188","-119.06781","160502020404	",,"3-14-2024, 12:19 PM MDT"
"Lake Audrain","ABN	","California","Snow Course/Aerial Marker","El Dorado","7300","38.82","-120.037","180201290301	",,"3-14-2024, 12:19 PM MDT"
"Lake Avalon","08108090	","New Mexico","Reservoir","Eddy","3180","32.49199","-104.25181","130600111007	",,"3-14-2024, 12:19 PM MDT"
"Lake Camp","10E04	","Wyoming","Snow Course/Aerial Marker","Teton","7780","44.55","-110.4","100700010409	",,"3-14-2024, 12:19 PM MDT"
"Lake Chelan","12452000	","Washington","Reservoir","Chelan","1100","47.83472","-120.01276","170200090305	",,"3-14-2024, 12:19 PM MDT"
"Lake City","07M08	","Colorado","Snow Course/Aerial Marker","Hinsdale","10160","37.98333","-107.25","140200020602	",,"3-14-2024, 12:19 PM MDT"
"Lake Coeur d' Alene","12415500	","Idaho","Reservoir","Kootenai","2100","47.65","-116.76667","170103030406	",,"3-14-2024, 12:19 PM MDT"
"Lake Como","12344500	","Montana","Reservoir","Ravalli","4242","46.0643","-114.23653","170102050805	",,"3-14-2024, 12:19 PM MDT"
"Lake Creek R.S.","563	","Oregon","SNOTEL","Grant","5240","44.21007","-118.63752","170501160102	",,"3-14-2024, 12:19 PM MDT"
"Lake Eldora","564	","Colorado","SNOTEL","Boulder","9728","39.93659","-105.59031","101900050402	",,"3-14-2024, 12:19 PM MDT"
"Lake Elwell (Tiber)","06101300	","Montana","Reservoir","Liberty","3012","48.31814","-111.10359","100302032102	",,"3-14-2024, 12:19 PM MDT"
"Lake Fk R ab Moon Lk nr Mountain Home","09289500	","Utah","Streamflow","Duchesne","8180","40.60661","-110.52711","140600030604	",,"3-14-2024, 12:19 PM MDT"
"Lake Fk R bl Moon Lk nr Mountain Home","09291000	","Utah","Streamflow","Duchesne","7970","40.55634","-110.48461","140600030605	",,"3-14-2024, 12:19 PM MDT"
