NWS  |USGS           |        |   |           |            |
5 CHR|STATION        |GOES    |NWS|LATITUDE   |LONGITUDE   |LOCATION
IDENT|NUMBER         |IDENTIFR|HSA|dd mm ss   | ddd mm ss  |NAME
-----|---------------|--------|---|-----------|------------|------------------------------
VDLM7|391825091285101|DF0BA7A4|LSX|39 18 25   |091 28 50   |VANDALIA
VLLM7|07019130       |CE35F3E6|LSX|38 32 47.8 |090 29 06.1 |MERAMEC RIVER AT VALLEY PARK MO
VPKM7|07019120       |D11FF372|LSX|38 33 12.1 |090 30 42.9 |FISHPOT CREEK AT VALLEY PARK MO
WBRM7|07010094       |173BD05A|LSX|38 33 52.3 |090 18 33.7 |GRAMMOND CREEK NEAR WILBUR PARK MO
WGNM7|375306090125301|DD1AA184|LSX|37 53 06.1 |090 12 53.6 |WEINGARTEN
WHGM7|06935450       |F00523AE|LSX|38 33 35   |091 00 27   |MISSOURI RIVER AT WASHINGTON MO
WIDM7|06935755       |1784D700|LSX|38 36 35.1 |090 40 21.0 |BONHOMME CREEK NEAR ELLISVILLE MO
WPHM7|06927000       |D10165E6|LSX|38 25 54.5 |091 59 19.0 |MARIES RIVER AT WESTPHALIA MO
HISM7|07047900       |CE406A3A|MEG|35 15 37   |090 41 00   |ST. FRANCIS BAY AT RIVERFRONT AR
CLRM7|07062000       |CE5C8FCA|PAH|37 08 00.2 |090 46 30.7 |CLEARWATER LAKE NEAR PIEDMONT MO
CLTM7|07062050       |CE1F3644|PAH|37 07 53.6 |090 46 15.3 |CLEARWATER TAILWATER NEAR PIEDMONT MO
CPGM7|07020850       |CE401278|PAH|37 18 06.8 |089 31 04.8 |MISSISSIPPI RIVER AT CAPE GIRARDEAU MO
DNZM7|07068000       |CE707F3C|PAH|36 37 17.4 |090 50 47   |CURRENT RIVER AT DONIPHAN MO
GCRM7|365141090304001|176DE14C|PAH|36 51 41.09|090 30 40.18|POPLAR BLUFF
IBCM7|07039500       |CE4138BC|PAH|36 55 41.2 |090 15 55.0 |ST. FRANCIS RIVER AT WAPPAPELLO MO
LBFM7|07068510       |D10E7002|PAH|36 37 53.5 |090 34 32.1 |LITTLE BLACK RIVER BELOW FAIRDEALING MO
LPRM7|07062500       |CE20C622|PAH|37 03 31.4 |090 41 13.2 |BLACK RIVER AT LEEPER MO
LRDM7|07043500       |DDC4938C|PAH|36 50 04.3 |089 43 48.2 |LITTLE RIVER DITCH NO. 1 NEAR MOREHOUSE MO
NMDM7|07024175       |CE508E56|PAH|36 34 57.4 |089 32 52.5 |MISSISSIPPI RIVER AT NEW MADRID MO
PAZM7|07037500       |CE62461E|PAH|37 11 40.3 |090 30 11.9 |ST. FRANCIS RIVER NEAR PATTERSON MO
PPBM7|07063000       |CE5C21E0|PAH|36 45 35.1 |090 23 16.2 |BLACK RIVER AT POPLAR BLUFF MO
QULM7|363551090152801|1701B29E|PAH|36 35 54.5 |090 15 37.4 |QULIN
SABM7|07037300       |CE6223F8|PAH|37 15 37   |090 30 21.7 |BIG CREEK AT SAM A BAKER STATE PARK MO
SCPM7|07020550       |17C9C4CC|PAH|37 44 13   |089 55 42   |SOUTH FORK SALINE CREEK NEAR PERRYVILLE MO
SKNM7|365319089331001|1701C40E|PAH|36 53 17.6 |089 33 09.9 |SIKESTON
VBSM7|07067500       |DD6CB790|PAH|36 57 03.4 |090 59 30.7 |BIG SPRING NEAR VAN BUREN MO
VNBM7|07067000       |CE6FEB52|PAH|36 59 29.0 |091 00 48.6 |CURRENT RIVER AT VAN BUREN MO
WLMM7|07062575       |CE20D554|PAH|36 58 21   |090 35 49   |BLACK RIVER ABOVE WILLIAMSVILLE MO
WPPM7|07039000       |CE4140FE|PAH|36 55 42   |090 17 04   |WAPPAPELLO LAKE AT WAPPAPELLO MO
ZCRM7|07021000       |DDC480FA|PAH|37 08 47.9 |090 04 31.8 |CASTOR RIVER AT ZALMA MO
AKFM7|07064533       |DD97B62C|SGF|37 22 32.5 |091 33 10.1 |CURRENT RIVER ABOVE AKERS MO
ALYM7|07065495       |DD97D3CA|SGF|37 08 53.4 |091 26 35.1 |JACKS FORK AT ALLEY SPRING MO
ASBM7|372202094370201|17ABF690|SGF|37 22 02.0 |094 37 02.6 |ASBURY SPRINGFIELD PLATEAU AQUIFER
AVDM7|365602092395101|1674B150|SGF|36 56 02.5 |092 39 51.4 |AVA
BBCM7|07053810       |DE94133C|SGF|36 43 03.9 |093 12 24.5 |BULL CREEK NEAR WALNUT SHADE MO
BCCM7|07189100       |D102926C|SGF|36 40 14.9 |094 36 14.4 |BUFFALO CREEK AT TIFF CITY MO
BIGM7|06930060       |DDC871E2|SGF|37 45 36.9 |092 03 28.7 |BIG PINEY BELOW FORT LEONARD WOOD MO
BNSM7|06923500       |17C96434|SGF|37 43 01.73|092 51 27.26|BENNETT SPRING AT BENNETT SPRINGS MO
BRBM7|07054080       |CE2BE366|SGF|36 46 46.7 |092 54 26.2 |BEAVER CREEK AT BRADLEYVILLE MO
BSGM7|07188653       |DD95C548|SGF|36 36 57.1 |094 10 56.0 |BIG SUGAR CREEK NEAR POWELL MO
BTTM7|364453093543601|DD0E40D2|SGF|36 44 53.1 |093 54 36.2 |BUTTERFIELD SPRINGFIELD PLATEAU AQUIFER
CADM7|371036094171301|169292F8|SGF|37 10 35.5 |094 17 13.3 |CARTHAGE
CHTM7|07185765       |17D1D482|SGF|37 11 19.1 |094 19 33.3 |SPRING RIVER AT CARTHAGE MO
CMZM7|06919900       |CE63F9B8|SGF|37 52 11.4 |093 48 11.4 |SAC RIVER NEAR CAPLINGER MILLS MO
DDZM7|06918440       |CE738664|SGF|37 26 35.3 |093 41 05.6 |SAC RIVER NEAR DADEVILLE MO
DWEM7|06917630       |DD06E48C|SGF|37 32 07.3 |094 33 29.1 |EAST DRYWOOD CREEK AT PRAIRIE STATE PARK
EMCM7|07066000       |DD97C0BC|SGF|37 09 14.7 |091 21 29.4 |JACKS FORK AT EMINENCE MO
EPGM7|07071500       |CE6FE580|SGF|36 38 55.3 |091 12 03.0 |ELEVEN POINT RIVER NEAR BARDLEY MO
FCRM7|07052820       |16CD73DA|SGF|36 45 02.7 |093 37 07.6 |FLAT CREEK BELOW JENKINS MO
FINM7|07052345       |DDC3E728|SGF|36 58 29.6 |093 19 40.4 |FINLEY CREEK BELOW RIVERDALE MO
GFZM7|06918460       |CE653C68|SGF|37 24 08.5 |093 48 07.3 |TURNBACK CREEK ABOVE GREENFIELD MO
GGRM7|07071000       |DD0AA61A|SGF|36 47 11.8 |091 20 51.1 |GREER SPRING AT GREER MO
GLNM7|07052500       |CE5C3C44|SGF|36 48 19.4 |093 27 41.7 |JAMES RIVER AT GALENA MO
HTGM7|07015720       |D1017690|SGF|38 08 48.9 |091 34 51.2 |BOURBEUSE RIVER NEAR HIGH GATE MO
HTNM7|06917060       |CE1F754E|SGF|37 59 41.3 |094 22 09.5 |LITTLE OSAGE RIVER AT HORTON MO
HZLM7|06928000       |16FEC12A|SGF|37 45 32.9 |092 27 07.3 |GASCONADE RIVER NEAR HAZELGREEN MO
INCM7|07188885       |DD95B3D8|SGF|36 35 57.4 |094 26 58.7 |INDIAN CREEK NEAR LANAGAN MO
JAMM7|07052250       |178DF7B0|SGF|37 00 23.7 |093 21 52.8 |JAMES RIVER NEAR BOAZ MO
JDWM7|370224094320201|162ADA4E|SGF|37 02 21.8 |094 32 00.5 |JOPLIN
JKFM7|07065200       |DDC4A616|SGF|37 03 23.5 |091 40 04.9 |JACKS FORK NEAR MOUNTAIN VIEW MO
JOPM7|07187000       |CE609582|SGF|37 01 14.1 |094 30 49.5 |SHOAL CREEK ABOVE JOPLIN MO
JRMM7|06933500       |17F2821E|SGF|37 55 47.7 |091 58 38.4 |GASCONADE RIVER AT JEROME MO
LBBM7|373906092385201|D108F6D8|SGF|37 38 53.1 |092 38 51.6 |LEBANON
LKBM7|06926000       |DDD061AC|SGF|38 11 26.6 |092 36 25.7 |OSAGE RIVER NEAR BAGNELL MO
LNIM7|06925250       |D10E4598|SGF|37 56 05   |093 04 01   |LITTLE NIANGUA RIVER NEAR MACKS CREEK MO
LOVM7|381652093215501|1702A6E6|SGF|38 16 51.2 |093 21 55.1 |WARSAW
LRRM7|372958094161001|1702937C|SGF|37 29 59.4 |094 16 10.0 |LAMAR
LSGM7|07188838       |DD95D63E|SGF|36 35 02.6 |094 22 22.7 |LITTLE SUGAR CREEK NEAR PINEVILLE MO
MDWM7|365451093555501|172815D4|SGF|36 54 50.7 |093 55 55.1 |MONETT 10
MOVM7|370539093494001|16CD4892|SGF|37 05 39.2 |093 49 40.2 |MT. VERNON OZARK AQUIFER
MSPM7|07064440       |DDB4C65C|SGF|37 26 52.5 |091 40 16.9 |CURRENT RIVER AT MONTAUK STATE PARK MO
MSZM7|06918740       |CE647D98|SGF|37 28 58.3 |093 29 08.3 |LITTLE SAC RIVER NEAR MORRISVILLE MO
MVMM7|365949091421401|17EBE63A|SGF|36 59 48.8 |091 42 12.3 |MOUNTAIN VIEW
NEWM7|06932000       |176C26A8|SGF|37 54 34.3 |091 54 12.0 |LITTLE PINEY CREEK AT NEWBURG MO
NFSM7|07185910       |177296D0|SGF|37 15 32   |094 26 06   |NORTH FORK SPRING RIVER NEAR PURCELL MO
NMCM7|06923940       |17AEE226|SGF|37 51 48   |092 53 53   |NIANGUA RIVER AB LAKE NIANGUA NR MACKS CREEK MO
NSOM7|364818094185301|17D25598|SGF|36 48 17.7 |094 18 53.3 |NEOSHO SPRINGFIELD PLATEAU AQUIFER
NVDM7|06918060       |CE1FA326|SGF|37 51 43.3 |094 23 57.3 |MARMATON RIVER NEAR NEVADA MO
NWOM7|370624092244701|D108D034|SGF|37 06 23.8 |092 24 47.4 |NORWOOD WELL
OFCM7|375429092300701|DDF59706|SGF|37 54 30.0 |092 30 06.9 |OZARK FISHERIES
PEAM7|07050690       |DD0576E0|SGF|37 10 40.6 |093 11 54.2 |PEARSON CREEK NEAR SPRINGFIELD MO
PINM7|06930000       |D101507C|SGF|37 39 56.3 |092 02 59.7 |BIG PINEY RIVER NEAR BIG PINEY MO
PLKM7|06921200       |CE7388B6|SGF|37 45 01.7 |093 15 58.3 |LINDLEY CREEK NEAR POLK MO
POKM7|06921070       |CE739512|SGF|37 40 57.6 |093 22 13.2 |POMME DE TERRE RIVER NEAR POLK MO
PSZM7|07053820       |CE6FF824|SGF|36 39 34.6 |093 07 33.1 |LAKE TANEYCOMO AT OZARK BEACH DAM MO
PTXM7|06921325       |CE64B654|SGF|37 54 10.8 |093 19 01.4 |POMME DE TERRE LAKE NEAR HERMITAGE MO
PTZM7|06921350       |CE7977B2|SGF|37 54 21.8 |093 19 44.1 |POMME DE TERRE RIVER NEAR HERMITAGE MO
PVUM7|06919500       |CE6405DA|SGF|37 50 02.6 |093 52 31.7 |CEDAR CREEK NEAR PLEASANT VIEW MO
PWDM7|07066510       |165656B8|SGF|37 11 08.21|091 10 39.59|CURRENT RIVER ABOVE POWDER MILL MO
RALM7|375625091480401|DF0C900A|SGF|37 56 25.1 |091 48 04.6 |RAMADA INN ROLLA
RBUM7|06928300       |17EEB186|SGF|37 36 03.9 |092 14 01.7 |ROUBIDOUX CREEK ABOVE FORT LEONARD WOOD MO
RBXM7|06928420       |17EEC716|SGF|37 47 31   |092 11 00   |ROUBIDOUX CREEK AT POLLA RD BL FT. LEONARD WOOD
RCCM7|06917560       |DD0716F2|SGF|37 51 53   |094 34 56   |MARMATON RIVER NEAR RICHARDS MO
RRSM7|07050152       |DE2E13A6|SGF|36 34 51.5 |093 50 01.3 |ROARING RIVER AT ROARING RIVER STATE PARK
SACM7|06918493       |DD06A786|SGF|37 15 59.0 |093 14 58.1 |SOUTH FORK DRY SAC RIVER NEAR SPRINGFIELD MO
SCRM7|07052120       |DD95E3A4|SGF|37 09 13.1 |093 21 46.0 |SOUTH CREEK NEAR SPRINGFIELD MO
SCZM7|06918070       |CE500842|SGF|38 03 21.1 |094 08 43.5 |OSAGE RIVER ABOVE SCHELL CITY MO
SDWM7|371435093134701|1728204E|SGF|37 14 29.1 |093 13 54.4 |SPRINGFIELD
SGFM7|07050700       |DDC86294|SGF|37 08 59.9 |093 12 12.2 |JAMES RIVER NEAR SPRINGFIELD MO
SJZM7|06919020       |CE63F76A|SGF|37 44 09.2 |093 46 46.9 |SAC RIVER AT HWY J BELOW STOCKTON MO
SLAM7|07185700       |176B0270|SGF|37 09 01   |094 03 41   |SPRING RIVER AT LA RUSSELL MO
SOGM7|07053600       |CE5C719C|SGF|36 37 02.4 |093 14 33.9 |LAKE TANEYCOMO AT SCHOOL OF THE OZARKS MO
STXM7|06918990       |CE64B886|SGF|37 41 38.8 |093 46 10.7 |STOCKTON LAKE NEAR STOCKTON MO
STZM7|06919000       |CE500690|SGF|37 42 03.79|093 45 24.41|SAC RIVER NEAR STOCKTON MO
TBVM7|06918250       |DE4E9780|SGF|38 00 14   |093 59 41   |OSAGE RIVER AT TABERVILLE MO
TCKM7|07053690       |DE93FC28|SGF|36 34 58   |093 12 37   |TURKEY CREEK NEAR HOLLISTER MO
TFDM7|07054288       |DE940E98|SGF|36 42 24   |092 39 39   |LITTLE NORTH FORK RIVER AT THORNFIELD MO
TIFM7|07189000       |CE60E312|SGF|36 37 53   |094 35 12   |ELK RIVER NEAR TIFF CITY MO
TKZM7|06922440       |CE64C0C4|SGF|38 15 23.8 |093 23 42.8 |HARRY S. TRUMAN DAM AND RES. AT WARSAW MO
TSCM7|06926080       |D116B624|SGF|38 13 57.14|092 27 31   |OSAGE RIVER AT TUSCUMBIA MO
TUDM7|06923950       |DDC84478|SGF|37 56 13.0 |092 51 04.9 |NIANGUA RIVER AT TUNNEL DAM NEAR MACKS CREEK MO
TVCM7|06926290       |16DF9242|SGF|38 16 40   |092 14 00   |TAVERN CREEK BELOW ST. ELIZABETH MO
VLWM7|371548093144701|D1186424|SGF|37 15 47.6 |093 14 47.4 |VALLEY WATER MILLS SPRINGFIELD PLATEAU AQUIFER
WBLM7|06920520       |17C9F156|SGF|37 53 43.77|093 30 53.14|WEAUBLEAU CREEK NEAR WEAUBLEAU MO
WCCM7|07052000       |17EE976A|SGF|37 11 13.1 |093 19 52.8 |WILSON CREEK AT SPRINGFIELD MO
WCMM7|07052152       |DDC4B560|SGF|37 08 49.7 |093 22 31.7 |WILSON CREEK NEAR BROOKLINE MO
WCOM7|07186000       |CE60F064|SGF|37 14 44.2 |094 33 59.1 |SPRING RIVER NEAR WACO MO
WCRM7|07052100       |D102A7F6|SGF|37 10 06.7 |093 22 13.0 |WILSON CREEK NEAR SPRINGFIELD MO
WLAM7|364324091515001|DF0C837C|SGF|36 44 47.2 |091 52 42.6 |WEST PLAINS
WNYM7|06923250       |17C9E220|SGF|37 41 03.5 |092 55 28.7 |NIANGUA RIVER AT WINDYVILLE MO
WRSM7|06922500       |CE2D26B6|SGF|38 14 40.2 |093 23 13.6 |OSAGE RIVER AT WARSAW MO
BBEM6|334215089442701|1706D54C|JAN|33 42 21   |089 44 27   |043H0024  GRENADA
BETM6|02429000       |1774100A|JAN|31 33 45   |087 21 06   |LIMESTONE CREEK NEAR MONROEVILLE AL
BKNM6|02479130       |DD6E01EA|JAN|31 03 07   |089 12 15   |BLACK CREEK NR BROOKLYN MS
BOVM6|07290000       |CE501B34|JAN|32 20 52   |090 41 49   |BIG BLACK RIVER NR BOVINA MS
BTAM6|07289730       |CE50207C|JAN|32 36 11   |090 21 50   |BIG BLACK RIVER NR BENTONIA MS
CARM6|02482550       |177104BC|JAN|32 42 26   |089 31 35   |PEARL RIVER NR CARTHAGE MS
CBOM6|02484600       |174C94C8|JAN|32 34 26   |089 43 47   |COFFEE BOGUE AT LUDLOW MS
CBUM6|02441390       |1723F58E|JAN|33 31 03   |088 29 22   |TOMBIGBEE RIVER AT STENNIS LOCK AND DAM MS
CCMM6|07046400       |170751A2|JAN|35 55 47.23|090 06 03.34|SEVEN-MILE DITCH AT BIG LAKE WMA NEAR MANILA AR
CKYM6|02475500       |177F43DE|JAN|32 19 34   |088 54 33   |CHUNKY RIVER NR CHUNKY MS
CLMM6|02489000       |17CCD07A|JAN|31 14 16   |089 50 49   |PEARL RIVER NR COLUMBIA MS
CLSM6|02472000       |D11F366C|JAN|31 42 25   |089 24 25   |LEAF RIVER NR COLLINS MS
CLUM6|02443500       |165EA29A|JAN|33 30 51   |088 23 43   |LUXAPALLILA CREEK NR COLUMBUS MS
DLAM6|02487500       |178A60E6|JAN|31 58 40   |089 53 51   |STRONG RIVER AT D`LO MS
EDDM6|07291000       |16671138|JAN|31 30 11   |090 46 39   |HOMOCHITTO RIVER AT EDDICETON MS
ENBM6|02482000       |1770F6C2|JAN|32 47 56   |089 20 06   |PEARL RIVER AT EDINBURG MS
ENSM6|02477000       |177F7644|JAN|32 10 33   |088 49 11   |CHICKASAWHAY RIVER AT ENTERPRISE MS
FNGM6|02484760       |D116F52E|JAN|32 30 20   |089 48 46   |FANNEGUSHA CREEK NR SAND HILL MS
GDHM6|02483500       |177364AE|JAN|32 40 02   |089 38 46   |PEARL RIVER NR LENA MS
GEEM6|07265455       |CE40F18A|JAN|33 17 33   |091 09 38   |MISSISSIPPI RIVER NR GREENVILLE MS
GREM6|07287000       |CE4185E0|JAN|33 31 28   |090 10 54   |YAZOO RIVER AT GREENWOOD MS
GRYM6|07285500       |DDEE8046|JAN|33 47 16   |089 48 35   |YALOBUSHA RIVER AT GRENADA MS
HATM6|02473000       |D11683BE|JAN|31 20 35   |089 16 49   |LEAF RIVER AT HATTIESBURG MS
HBCM6|02472980       |162D4D18|JAN|31 20 57.3 |089 18 21.6 |BOUIE RIVER AT GLENDALE AVENUE AT HATTIESBURG MS
HBGM6|02472500       |17DDC668|JAN|31 25 33   |089 24 53   |BOUIE CREEK NR HATTIESBURG MS
HCFM6|02485735       |DE0213D4|JAN|32 19 53   |090 07 45   |PEARL RIVER AT HWY 25 AT JACKSON MS
JACM6|02486000       |DD3051BC|JAN|32 16 53   |090 10 44   |PEARL RIVER AT JACKSON MS
JBLM6|02485820       |16FEF4B0|JAN|32 19 07.6 |090 09 44.5 |BELHAVEN CREEK AT LAUREL STREET AT JACKSON MS
JBRM6|02485810       |170CF2F2|JAN|32 19 24.7 |090 10 18.1 |BELHAVEN CREEK AT RIVERSIDE DRIVE AT JACKSON MS
JCCM6|02486350       |1721766E|JAN|32 14 17   |090 13 59   |CANY CREEK AT JACKSON MS
JHMM6|02485700       |17215082|JAN|32 21 54   |090 08 41   |HANGING MOSS CREEK NR JACKSON MS
JSNM6|02485601       |1668E72E|JAN|32 23 52   |090 03 53   |PEARL RIVER AT ROSS BARNETT RESERVOIR MS
KSCM6|02484000       |1770B5C8|JAN|33 01 56   |089 34 40   |YOCKANOOKANY RIVER NR KOSCIUSKO MS
LBGM6|07288650       |DDD0B7C4|JAN|33 23 48   |090 50 52   |BOGUE PHALIA NR LELAND MS
LBSM6|07288200       |CE6A12C4|JAN|33 52 54   |090 36 38   |BIG SUNFLOWER RIVER NEAR LOMBARDY MISS.
LBTM6|02482470       |DDA380FC|JAN|32 51 44   |089 26 36   |LOBUTCHA CREEK AT RENFROE MS
LURM6|02473500       |17AA6108|JAN|31 40 51   |089 06 56   |TALLAHALA CREEK AT LAUREL MS
LYNM6|02486100       |171E3586|JAN|32 17 05   |090 12 54   |LYNCH CREEK AT JACKSON MS
MCNM6|02448000       |1712D7E8|JAN|33 04 20.5 |088 33 31.6 |NOXUBEE RIVER AT MACON MS
MEIM6|02476500       |DD033524|JAN|32 22 04   |088 40 38   |SOWASHEE CREEK AT MERIDIAN MS
MOGM6|07281600       |DE167496|JAN|33 39 05   |090 12 40   |TALLAHATCHIE RIVER AT MONEY MS
MRGM6|07288280       |17713126|JAN|33 49 57   |090 40 12   |BIG SUNFLOWER RIVER NR MERIGOLD MS
MTCM6|02488500       |17CCE5E0|JAN|31 33 12   |090 05 17   |PEARL RIVER NR MONTICELLO MS
NTZM6|07290880       |CE4103F4|JAN|31 33 37   |091 25 07   |MISSISSIPPI RIVER AT NATCHEZ MS
OARM6|02476600       |DDF0B8F8|JAN|32 17 54   |088 45 13   |OKATIBBEE CREEK AT ARUNDEL MS
OFAM6|02484500       |177117CA|JAN|32 42 22   |089 40 19   |YOCKANOOKANY RIVER NR OFAHOMA MS
OKCM6|02472850       |DD17B194|JAN|31 29 21   |089 26 00   |OKATOMA CREEK AT SANFORD MS
PECM6|02485498       |1774037C|JAN|32 23 17   |089 57 19   |PELAHATCHIE CREEK AT STATE HWY 25 NR FANNIN MS
PLAM6|02481880       |1770D02E|JAN|32 50 29   |089 05 52   |PEARL RIVER AT BURNSIDE MS
QTMM6|02477045       |DE4E84F6|JAN|32 02 32   |088 44 39   |CHICKASAWHAY RIVER AT QUITMAN MS
RATM6|02484650       |1669F6A2|JAN|32 35 39   |089 50 26   |PEARL RIVER AT RATLIFF`S FERRY NR RATLIFF MS
RDWM6|07288800       |DD15D186|JAN|32 29 14   |090 49 02   |YAZOO RIVER AT REDWOOD MS
ROCM6|02488000       |16282F3E|JAN|31 47 27   |090 08 33   |PEARL RIVER AT ROCKPORT MS
RSAM6|07292500       |163E8896|JAN|31 19 29   |091 06 34   |HOMOCHITTO RIVER AT ROSETTA MS
SBAM6|07288847       |DD2DB6B6|JAN|33 01 53   |090 59 53   |STEELE BAYOU NR GLEN ALLAN MS
SUNM6|07288500       |DDA21764|JAN|33 32 50   |090 32 35   |BIG SUNFLOWER RIVER AT SUNFLOWER MS
TOWM6|02485950       |1721959C|JAN|32 18 13   |090 11 33   |TOWN CREEK AT JACKSON MS
UBCM6|02485800       |DDBE9772|JAN|32 20 23   |090 09 52   |EUBANKS CREEK AT JACKSON MS
UBEM6|02485777       |DE61A566|JAN|32 20 51.7 |090 10 14.6 |EUBANKS CREEK AT EAGLE AVENUE AT JACKSON MS
VCKM6|07289000       |CE40FF58|JAN|32 18 54   |090 54 21   |MISSISSIPPI RIVER AT VICKSBURG MS
WALM6|02473460       |1721A006|JAN|31 57 58   |089 06 54   |TALLAHALA CREEK AT WALDRUP MS
WBPM6|07290650       |1667024E|JAN|32 01 07   |090 52 42   |BAYOU PIERRE NR WILLOWS MS
WOWM6|02485720       |DD123040|JAN|32 22 13.3 |090 07 40.0 |WHITE OAK CREEK AT WESTBROOK ROAD AT JACKSON MS
WSTM6|07289350       |176EB63E|JAN|33 11 40   |089 46 16   |BIG BLACK RIVER AT WEST MS
WTGM6|02483000       |1729E7AA|JAN|32 35 18   |089 27 54   |TUSCOLAMETA CREEK AT WALNUT GROVE MS
YZSM6|07288955       |1666F030|JAN|32 26 39   |090 54 51   |YAZOO RIVER BL STEELE BAYOU NR LONG LAKE MS
BBBM6|07280010       |1774961E|LIX|34 08 40.7 |090 13 48.4 |TALLAHATCHIE RIVER AT ALLEN MS
BLWM6|02481000       |17C5952C|LIX|30 33 31   |089 07 19   |BILOXI RIVER AT WORTHAM MS
CREM6|02492343       |178A557C|LIX|30 34 27   |089 35 41   |EAST HOBOLOCHITTO CREEK NR CAESAR MS
DIBM6|02480590       |167912CE|LIX|30 28 33   |088 53 36   |TCHOUTACABOUFFA RIVER NR D'IBERVILLE MS
EPCM6|301141089320300|179787EC|LIX|30 11 41   |089 32 03   |EAST PEARL RIVER AT CSX RAILROAD NR CLAIBORNE MS
ESIM6|301527088521500|1689E05E|LIX|30 15 16   |088 52 08   |MISSISSIPPI SOUND AT USGS EAST SHIP ISLAND LIGHT
GLFM6|02481521       |DDA957C6|LIX|30 23 36.1 |089 12 23.0 |WOLF RIVER AT BELLE FERRY ROAD NEAR LONG BEACH MS
GPLM6|301912088583300|17CC7082|LIX|30 19 07   |088 58 20   |MISSISSIPPI SOUND AT USGS GULFPORT LIGHT MS
KLNM6|02481660       |DD6E129C|LIX|30 23 14   |089 26 29   |JOURDAN RIVER NR BAY ST LOUIS MS
LNDM6|02481510       |17CC9370|LIX|30 29 01   |089 16 28   |WOLF RIVER NR LANDON MS
LYMM6|02481130       |DDA944B0|LIX|30 29 18   |089 02 09   |BILOXI RIVER NR LYMAN MS
MNLM6|02492360       |17CA45D6|LIX|30 39 44   |089 41 10   |WEST HOBOLOCHITTO CREEK NR MCNEILL MS
MSBM6|301429089145600|1749A692|LIX|30 14 17   |089 14 34   |MISSISSIPPI SOUND AT USGS MERRILL SHELL BANK LIGHT
NAPM6|02492620       |DD45F328|LIX|30 21 08   |089 38 45   |PEARL RIVER AT NSTL STATION MS
OFBM6|02481299       |16FEE7C6|LIX|30 25 09   |088 49 41   |OLD FORT BAYOU AT OCEAN SPRINGS MS
ORAM6|0248018020     |DD8E476A|LIX|30 27 31   |088 27 05   |ESCATAWPA RIVER AT I-10 NR ORANGE GROVE MS
OSYM6|07375280       |1729D230|LIX|31 00 44   |090 27 40   |TANGIPAHOA RIVER AT OSYKA MS
PCHM6|302318088512600|D11F40FC|LIX|30 23 18   |088 51 26   |BILOXI BAY AT POINT CADET HARBOR AT BILOXI MS
PGFM6|02479310       |178A309A|LIX|30 36 38   |088 38 29   |PASCAGOULA RIVER AT GRAHAM FERRY MS
RISM6|301849088350000|1779768A|LIX|30 18 29   |088 35 02   |MISSISSIPPI SOUND AT USGS ROUND ISLAND LIGHT MS
SJIM6|301104089253400|1749807E|LIX|30 11 27   |089 25 20   |MISSISSIPPI SOUND AT USGS ST JOSEPH ISLAND LIGHT
TCGM6|02481251       |1708F7C8|LIX|30 25 06.37|089 04 57.01|TURKEY CREEK AT AIRPORT ROAD AT GULFPORT MS
TYTM6|02490500       |1773E2BA|LIX|31 10 37   |090 16 46   |BOGUE CHITTO NR TYLERTOWN MS
WOOM6|07295000       |1667845A|LIX|31 13 37   |091 17 44   |BUFFALO RIVER NR WOODVILLE MS
WPGM6|07355500       |DD6DF660|LIX|31 18 37.0 |092 26 19.8 |RED RIVER AT ALEXANDRIA LA
WPTM6|02480345       |170916C0|LIX|30 35 27.95|088 54 24.63|TCHOUTACABOUFFA RIVER TRIB NEAR WHITE PLAINS MS
WSWM6|02492110       |D116604C|LIX|30 34 18   |089 48 22   |EAST PEARL RIVER AB WILSON SL AT WALKIAH BLUFF MS
ABDM6|02439400       |DD2B231A|MEG|33 47 24   |088 18 55   |BUTTAHATCHEE RIVER NR ABERDEEN MS
ABEM6|02437100       |177147B6|MEG|33 49 48   |088 31 12   |TOMBIGBEE RIVER AT ABERDEEN LOCK AND DAM MS
ALLM6|340841090134701|174A1212|MEG|34 08 41.0 |090 13 46.9 |119M0072 QUITMAN (ALLEN)
AMYM6|02437000       |166643BE|MEG|33 59 08   |088 33 04   |TOMBIGBEE RIVER NR AMORY MS
BGBM6|02433500       |DDBE8404|MEG|34 00 41   |088 30 49   |TOMBIGBEE RIVER AT BIGBEE MS
CCTM6|07282000       |CE5E671E|MEG|33 50 19   |089 18 56   |YALOBUSHA R AND TOPASHAW C CA AT CALHOUN CITY MS
CUMM6|02430880       |162CD452|MEG|34 18 16   |088 22 16   |CUMMINGS CREEK NR FULTON MS
DNNM6|02430005       |CE01135E|MEG|34 31 12   |088 19 25   |TENN-TOM WW BELOW JAMIE WHITTEN L&D NR DENNIS MS
ETAM6|07268000       |172856DE|MEG|34 28 57   |089 13 28   |LITTLE TALLAHATCHIE RIVER AT ETTA MS
FULM6|02431000       |DD6DE516|MEG|34 15 54   |088 26 43   |TOMBIGBEE RIVER NR FULTON MS
GUNM6|02430680       |162CDA80|MEG|34 27 10   |088 34 38   |TWENTYMILE CREEK NR GUNTOWN MS
LKAM6|02433496       |CE00A22A|MEG|34 00 34.0 |088 29 29.0 |TENN-TOM WATERWAY BL AMORY L&D AT AMORY MS
