NWS  |USGS           |        |   |           |            |
5 CHR|STATION        |GOES    |NWS|LATITUDE   |LONGITUDE   |LOCATION
IDENT|NUMBER         |IDENTIFR|HSA|dd mm ss   | ddd mm ss  |NAME
-----|---------------|--------|---|-----------|------------|------------------------------
EUFA1|0234296910     |163C55D8|BMX|31 54 29   |085 08 42   |CHATTAHOOCHEE RIVER AT COAST GUARD DOCK AT EUFAULA
FTMA1|02342500       |DD0274D4|BMX|32 19 00   |085 00 54   |UCHEE CREEK NEAR FORT MITCHELL AL.
GAPA1|02400496       |1704F654|BMX|34 00 50   |085 58 13   |COOSA RIVER AT GADSDEN STEAM PLANT NR GADSDEN AL
GASA1|02407526       |17794310|BMX|33 14 28   |086 27 30   |COOSA RIVER AT GASTON STEAM PLANT NR WILSONVILLE
GAYA1|02398300       |1765B596|BMX|34 17 25   |085 30 33   |CHATTOOGA RIVER ABOVE GAYLESVILLE AL
GDNA1|02400500       |1767C6F2|BMX|34 00 37   |085 59 52   |COOSA RIVER AT GADSDEN AL
GNSA1|02447025       |DE27F608|BMX|32 50 53   |088 09 22   |TOMBIGBEE R AT HEFLIN L&D NR GAINESVILLE AL
GRAA1|02450250       |DD0535EA|BMX|34 17 07   |087 23 56   |SIPSEY FORK NEAR GRAYSON AL
GWDA1|02423630       |DE119550|BMX|33 19 34   |086 56 59   |SHADES CREEK NEAR GREENWOOD AL
HBPA1|02414715       |17DF3318|BMX|32 58 38   |085 44 23   |TALLAPOOSA RIVER NR NEW SITE AL.(HORSESHOE BEND)
HFLA1|02412000       |17DF4588|BMX|33 37 22   |085 30 48   |TALLAPOOSA RIVER NEAR HEFLIN AL
HILA1|02415000       |17709324|BMX|33 03 55   |085 52 41   |HILLABEE CREEK NEAR HACKNEYVILLE AL
HLEA1|02423555       |16503390|BMX|33 17 04   |086 52 57   |CAHABA RIVER NEAR HELENA AL
HMTA1|02438000       |DE11A0CA|BMX|34 06 22   |087 59 22   |BUTTAHATCHEE RIVER BELOW HAMILTON AL
HOVA1|02423496       |17B4C206|BMX|33 22 09   |086 47 03   |CAHABA RIVER NEAR HOOVER AL
JACA1|02404400       |17D8F432|BMX|33 32 54   |086 05 49   |CHOCCOLOCCO CREEK AT JACKSON SHOAL NR LINCOLN AL
JONA1|02422500       |DE2163A4|BMX|32 34 58   |086 54 13   |MULBERRY CREEK AT JONES AL
JPKA1|02423400       |17DF7012|BMX|33 29 59   |086 36 51   |LITTLE CAHABA RIVER NR JEFFERSON PARK AL.
LANA1|02339495       |1766421C|BMX|32 54 05   |085 11 47   |OSELIGEE CREEK NEAR LANETT AL
LCRA1|02423397       |176FE4B8|BMX|33 32 04   |086 33 45   |LITTLE CAHABA RIVER BELOW LEEDS AL.
LEEA1|02399500       |1770563A|BMX|34 10 36   |085 45 14   |COOSA RIVER AT LEESBURG AL
LKTA1|02464800       |16372E32|BMX|33 16 02   |087 30 22   |LAKE TUSCALOOSA NEAR TUSCALOOSA ALABAMA
LOAA1|02418230       |17BBD7E2|BMX|32 37 36   |085 35 17   |SOUGAHATCHEE CREEK AT CO RD 188 NR LOACHAPOKA AL.
