gauge_id;MINLON;MAXLON;MINLAT;MAXLAT
06406000;-103.25695;-103.21655;43.78529;43.82558
06408700;-103.95063;-103.81245;44.07877;44.1732
06409000;-104.04588;-103.73703;43.88274;44.15052
06431500;-104.08292;-103.78043;44.12202;44.51308
06440200;-102.10504;-102.06464;43.76548;43.80577
06441500;-102.10504;-102.06464;43.76548;43.80577
06447000;-102.43666;-102.39553;42.75504;42.79537
06447500;-102.28353;-101.59427;42.88327;43.244
06450500;-101.0115;-100.97111;43.03249;43.07277
06452000;-102.43666;-102.39553;42.75504;42.79537
06453600;-98.17893;-98.13531;42.78506;42.831
06464500;-99.76849;-99.72811;43.09575;43.13602
06468170;-100.16705;-98.81841;47.25919;47.86755
06468250;-100.16705;-98.61362;47.25919;47.86755
06470800;-98.4027;-97.93004;46.20013;46.86081
06477500;-98.47073;-98.43035;43.52235;43.56263
06479215;-97.12712;-97.08674;45.31271;45.35299
06479438;-97.3191;-97.27871;45.06337;45.10364
06601000;-96.72493;-96.39549;42.03618;42.3668
06614800;-105.91387;-105.83519;40.45583;40.51764
06622700;-106.56327;-106.33182;41.32597;41.46918
06623800;-106.85306;-106.65556;40.85145;41.0844
06632400;-106.33205;-106.11399;41.36262;41.60878
06746095;-105.93089;-105.8339;40.49394;40.56364
06784000;-99.06565;-99.02527;41.16705;41.20732
06803510;-96.80893;-96.61882;40.85374;41.08472
06803530;-96.84328;-96.49859;40.94546;41.17308
06814000;-96.48799;-96.06662;39.86638;40.34738
06847900;-101.33992;-100.05959;39.27443;39.87218
06853800;-98.53814;-98.49202;40.01496;40.05815
06876700;-98.15924;-98.11889;39.07905;39.11933
06878000;-97.53846;-96.98417;38.99003;39.41536
06879650;-96.62487;-96.58242;39.08207;39.12395
06885500;-96.5818;-96.03064;39.52457;40.03162
06888500;-96.56389;-96.08699;38.79509;39.15029
06889200;-96.04553;-95.78746;39.17903;39.67764
06889500;-96.04553;-95.6819;39.06657;39.67764
06892000;-95.25555;-95.21519;39.54081;39.58108
06903400;-93.80309;-93.22921;40.80532;41.06267
06906800;-93.53513;-92.76753;38.36817;38.7307
06910800;-96.23765;-95.90577;38.53592;38.88017
06911900;-95.85512;-95.81268;38.68274;38.72462
06917000;-95.24683;-94.66518;37.87016;38.14498
06918460;-93.96193;-93.52784;37.00424;37.44399
06919500;-94.22312;-93.7832;37.30711;37.8877
06921070;-93.13147;-93.09112;37.25015;37.29043
06921200;-93.36905;-93.03614;37.55346;37.79604
06934000;-92.91157;-91.69828;37.02742;38.44513
07014500;-90.9271;-90.88675;37.83831;37.87859
07056000;-93.55229;-92.71648;35.64307;36.17606
07057500;-92.334;-91.8834;36.58321;37.16208
