usgs_id	  10-85_slope_ftpmi	  upstream_len_mi	  elev_ft	  storage_pct	  lake_area_pct	  forest_pct	  glacier_pct	  infil_index	  mean_precip_in	  2yr_precip_in	  mean_min_jan_temp_f 
08150700	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08150800	  20.95	  35.00	  1866.00	  0.00	  -99.00	  92.00	  -99.00	  -99.00	  25.00	  3.70	  34.00
08151500	  8.84	  147.00	  1954.00	  0.00	  -99.00	  94.00	  -99.00	  -99.00	  26.50	  3.70	  33.00
08152000	  25.69	  51.90	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  27.00	  3.90	  -99.00
08153500	  12.80	  73.00	  1800.00	  0.00	  -99.00	  84.00	  -99.00	  -99.00	  29.50	  3.80	  35.00
08158000	  3.47	  587.00	  2022.00	  0.00	  -99.00	  54.00	  -99.00	  -99.00	  33.50	  3.40	  34.00
08159000	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08163500	  9.41	  24.00	  351.00	  0.00	  -99.00	  8.00	  -99.00	  -99.00	  41.50	  4.50	  43.00
08164000	  3.29	  80.70	  231.00	  0.20	  -99.00	  30.00	  -99.00	  -99.00	  37.50	  4.50	  44.00
08164300	  5.02	  37.70	  338.00	  0.40	  -99.00	  17.00	  -99.00	  -99.00	  37.50	  4.50	  41.00
08164500	  2.89	  94.50	  223.00	  0.40	  -99.00	  51.00	  -99.00	  -99.00	  35.50	  4.50	  42.00
08165300	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08165500	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08166000	  28.30	  20.20	  2049.00	  0.20	  -99.00	  84.00	  -99.00	  -99.00	  25.00	  3.70	  34.00
08167000	  13.30	  64.00	  1988.00	  0.20	  -99.00	  87.00	  -99.00	  -99.00	  30.00	  3.80	  34.00
08167500	  9.15	  130.00	  1792.00	  0.20	  -99.00	  84.00	  -99.00	  -99.00	  32.00	  3.90	  34.00
08169000	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08171000	  17.20	  54.00	  1326.00	  0.40	  -99.00	  92.00	  -99.00	  -99.00	  33.00	  4.00	  36.00
08171300	  13.60	  77.20	  1273.00	  0.20	  -99.00	  88.00	  -99.00	  -99.00	  34.00	  4.00	  36.00
08172000	  11.40	  110.00	  936.00	  0.00	  -99.00	  73.00	  -99.00	  -99.00	  33.00	  4.10	  39.00
08175000	  57.00	  4.77	  369.00	  0.40	  -99.00	  49.00	  -99.00	  -99.00	  32.00	  4.30	  42.00
08176500	  4.20	  414.00	  733.00	  0.20	  -99.00	  57.00	  -99.00	  -99.00	  35.00	  4.20	  44.00
08177500	  6.41	  61.20	  239.00	  0.20	  -99.00	  54.00	  -99.00	  -99.00	  34.00	  4.40	  45.00
