OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_,RFC,HUC,CWA,FCST_GP,CH5_ID,TYPE,DESCRIPTION,ATTRIBUTE,NUMBER_ZONE,ZONE_1_MIN_,ZONE_2_MIN_,ZONE_3_MIN_,ZONE_4_MIN_,ZONE_5_MIN_,ZONE_6_MIN_,ZONE_1_SHEF,ZONE_2_SHEF,ZONE_3_SHEF,ZONE_4_SHEF,ZONE_5_SHEF,ZONE_6_SHEF
"0","480",LKHC1,-115.3289149966,-113.8324743406,34.2320064076,35.5810143341,CBRFC,"15030101",vef,havasu,LKHC1,d,LAKE HAVASU - PARKER- NR,,"3","0","457","762","0","0","0",LKHC1LLH,LKHC1LMH,LKHC1LUH,,,
"0","481",LKPA3,-112.5567350950,-112.1197150311,33.8373719861,34.2049626936,CBRFC,"15070102",slc,aguafria,LKPA3,d,AGUA FRIA - LAKE PLEASANT- WADDELL DAM- AT,,"2","0","1219","0","0","0","0",LKPA3LLH,LKPA3LUH,,,,
"0","482",LKSA3,-115.0071196687,-113.1187043554,35.1090798224,36.8828725572,CBRFC,"15010005",vef,havasu,LKSA3,d,LAKE MEAD,,"3","0","762","1219","0","0","0",LKSA3LLH,LKSA3LMH,LKSA3LUH,,,
"0","486",LNAC2,-106.8153650508,-106.7316987957,37.0725019402,37.1467128859,CBRFC,"14080101",gjt,sanjuan,LNAC2,d,LITTLE NAVAJO - OSO DIV DAM-BL-CHROMO-NR,,"2","0","2895","0","0","0","0",LNAC2HLF,LNAC2HUF,,,,
"0","487",LOSC2,-107.7321581981,-107.4180874114,37.0151068243,37.4533652208,CBRFC,"14080101",gjt,sanjuan,LOSC2,d,LOS PINOS - LA BOCA,,"3","0","2133","2438","0","0","0",LOSC2LLF,LOSC2LMF,LOSC2LUF,,,
"0","488",LPDA3,-110.2043448101,-109.9385739131,34.1415106555,34.3518407713,CBRFC,"15020005",fgz,litcol,LPDA3,d,LONE PINE DAM,,"1","0","0","0","0","0","0",LPDA3LLH,,,,,
"0","489",LPFN5,-108.3811273656,-107.9586304467,36.7367936626,37.1762681336,CBRFC,"14080105",gjt,sanjuan,LPFN5,d,LA PLATA - FARMINGTON- NR,,"2","0","1828","0","0","0","0",LPFN5LLF,LPFN5LUF,,,,
"0","490",LPHC2,-108.1076982941,-108.0046341162,37.2883988703,37.4604867419,CBRFC,"14080105",gjt,sanjuan,LPHC2,d,LA PLATA - HESPERUS,,"3","0","2895","3352","0","0","0",LPHC2HLF,LPHC2HMF,LPHC2HUF,,,
"0","491",LPSC2,-108.3278138575,-107.9909205984,36.9992832105,37.3817766934,CBRFC,"14080105",gjt,sanjuan,LPSC2,f,LA PLATA - CO/NM STATE LINE,,"3","0","2133","2438","0","0","0",LPSC2LLF,LPSC2LMF,LPSC2LUF,,,
"0","493",LSDW4,-107.4992198569,-106.9748626199,40.8712288060,41.4039732638,CBRFC,"14050003",gjt,whyam,LSDW4,f,LITTLE SNAKE - DIXON- NR,,"3","0","2286","2590","0","0","0",LSDW4LLF,LSDW4LMF,LSDW4LUF,,,
