OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_,FCSTGROUP,NWSID,AREA,DESCRIPT,TVA_NUM
"0","294",BKRA4,-91.2670833333,-90.9212500000,36.0745833333,36.3662500000,FGBLAKAR,BKRA4,198.4916540740,BLACK @ BLACK ROCK,"-999"
"0","295",ETAM6,-89.2545833333,-88.8254166666,34.2204166666,34.6995833333,FGUYAZMS,ETAM6,524.1472307430,L.TALLAHATCHIE/ETTA,"-999"
"0","296",EGPA4,-90.9462500000,-90.1837500000,35.8204166666,36.6495833333,FGLWHIAR,EGPA4,646.9382672320,CACHE @ EGYPT,"-999"
"0","297",CCTM6,-89.3629166666,-89.0295833333,33.8037500000,34.0079166666,FGLYAZMS,CCTM6,180.2269874460,YALOB-HA/CALHOUN CTY,"-999"
"0","298",ARKM6,-90.1741778391,-89.7295833333,34.4704166666,34.9954166666,FGUYAZMS,ARKM6,430.2801977010,COLDWATER/ARKABUTLA,"-999"
"0","299",WSTM6,-89.8879166666,-89.3587500000,33.1495833333,33.5620833333,FGBIGBMS,WSTM6,457.8802597340,BIG BLACK @ WEST,"-999"
"0","300",JFNT2,-94.9754166666,-94.4670833333,32.6787500000,33.2079166666,FGUREDLA,JFNT2,483.6670697500,B.CYPRESS/FERRELS BR,"-999"
"0","301",OBOT1,-89.7406163203,-89.0129166666,35.8579166666,36.5835039715,FGMISS,OBOT1,795.7641667980,MISS/OBION R MOUTH,"-999"
"0","302",LPOL1,-90.7295833333,-90.5587500000,30.9245833333,31.1579166666,FGAMCOLA,LPOL1,90.1795567790,TICKFAW @ LIVERPOOL,"-999"
"0","303",SRDM6,-89.8212500000,-89.1670833333,34.2995833333,34.7787500000,FGUYAZMS,SRDM6,642.0834729970,L.TALLAHAT-IE/SARDIS,"-999"
"0","304",LURM6,-89.1587500000,-89.0587500000,31.6704166666,31.8537500000,FGPASMS,LURM6,37.1004908580,TALLAHALA CR/LAUREL,"-999"
"0","305",EDDM6,-90.8462500000,-90.5420833333,31.4995833333,31.7704166666,FGBIGBMS,EDDM6,180.3891894320,HOMOCHITTO/EDDICETON,"-999"
"0","306",RLTT1,-89.6420833333,-88.7837500000,35.1787500000,35.7162500000,FGWESTTN,RLTT1,831.8009923880,HATCHIE @ RIALTO,"-999"
"0","307",BAGA4,-92.4045833333,-91.4962500000,35.6537500000,36.2870833333,FGUWHIAR,BAGA4,1091.9586935800,WHITE/BATESVILLE BRG,"-999"
"0","308",OSYM6,-90.6045833333,-90.3754166666,31.0120833333,31.3829166666,FGAMCOLA,OSYM6,156.0609395840,TANGIPAHOA @ OSYKA,"-999"
"0","309",PPLM6,-89.9920833333,-89.7754166666,34.1870833333,34.3037500000,FGUYAZMS,PPLM6,77.1786067460,PETERS CREEK NR POPE,"-999"
"0","310",GRNM6,-89.7962500000,-89.0795833333,33.6079166666,34.1329166666,FGLYAZMS,GRNM6,838.0058587440,YALOBUSHA/GRENADA DM,"-999"
"0","311",NPTA4,-91.8462500000,-91.2379166666,35.5662500000,35.8870833333,FGLWHIAR,NPTA4,386.5866551990,WHITE @ NEWPORT,"-999"
"0","312",JUDA4,-92.0837500000,-91.5754166666,35.2245833333,35.6704166666,FGLWHIAR,JUDA4,527.4104530110,L. RED NR JUDSONIA,"-999"
"0","313",BHTA4,-93.8587500000,-93.2379166666,33.7912500000,34.1829166666,FGUOUAAR,BHTA4,519.6043096570,L.MISSOURI/BOUGHTON,"-999"
"0","314",ENDM6,-89.9337500000,-89.3670833333,34.0370833333,34.3329166666,FGUYAZMS,ENDM6,357.0123763660,YOCONA @ ENID DAM,"-999"
"0","315",AUGA4,-91.6295833333,-90.8045833333,35.2829166666,36.2329166666,FGLWHIAR,AUGA4,589.5559072130,WHITE @ AUGUSTA,"-999"
"0","316",AKDA4,-93.2004166666,-92.7504166666,34.1120833333,34.5120833333,FGUOUAAR,AKDA4,327.9657386950,OUACHITA/ARKADELPHIA,"-999"
"0","317",MEMT1,-90.1928321730,-89.4420833333,35.1037500000,35.9350208333,FGMISS,MEMT1,935.2004496380,MISS @ MEMPHIS,"-999"
"0","335",KENL1,-90.5045833333,-90.3254166666,30.9370833333,31.1745833333,FGAMCOLA,KENL1,83.7628398610,TANGIPAHOA/KENTWOOD,"-999"
"0","336",JFFT2,-94.7962500000,-94.3045833333,32.5162500000,32.7329166666,FGUREDLA,JFFT2,280.0000266560,L.CYPRESS/JEFFERSON,"-999"
"0","337",ABCL1,-90.4629166666,-90.3337500000,30.8245833333,30.9329166666,FGAMCOLA,ABCL1,34.2361335410,BIG CREEK/AMITE,"-999"
"0","338",BKDM6,-88.7045833333,-88.4004166666,31.6829166666,32.3870833333,FGPASMS,BKDM6,473.5308208510,BUCKATUNNA/DENHAM,"-999"
"0","339",SPHL1,-93.5356765856,-93.1254166666,32.9787500000,33.5954166666,FGLREDLA,SPHL1,573.2482668370,B.DORCHEAT/SPRINGHIL,"-999"
"0","340",EFGA4,-91.6170833333,-90.8545833333,35.7495833333,36.2329166666,FGBLAKAR,EFGA4,596.3592563150,BLACK @ ELGIN FERRY,"-999"
"0","341",BOGM6,-89.8712500000,-89.4420833333,33.5204166666,33.7870833333,FGLYAZMS,BOGM6,248.3468338050,BATUPAN BOG/GRENADA,"-999"
"0","342",BSGM6,-90.0545833333,-89.7379166666,33.4287500000,33.5954166666,FGLYAZMS,BSGM6,121.0482441730,B.SAND C/VALLEY HILL,"-999"
"0","343",PTTA4,-91.2962500000,-90.9004166666,35.2662500000,35.9370833333,FGLWHIAR,PTTA4,335.2133728800,CACHE @ PATTERSON,"-999"
"0","344",JEFT2,-94.7170833333,-94.3129166666,32.7662500000,33.2079166666,FGUREDLA,JEFT2,383.4606090000,BLACK CYPRESS/JEFFER,"-999"
"0","345",GRYM6,-89.8504166666,-89.7462500000,33.7745833333,33.9745833333,FGLYAZMS,GRYM6,38.9191512240,YALOBUSH/GRENADA H51,"-999"
"0","346",LARM6,-89.2962500000,-89.1295833333,31.6620833333,32.2287500000,FGPASMS,LARM6,191.3844571110,TALLAHOMA CR/HWY 84,"-999"
"0","347",SHBM6,-89.1712500000,-88.6087500000,31.8537500000,32.2829166666,FGPASMS,SHBM6,530.8552831780,CHICKASAWHAY/SHUBUTA,"-999"
"0","348",UHGM6,-90.0337500000,-89.7837500000,33.7245833333,33.9245833333,FGLYAZMS,UHGM6,116.5902366340,YALOBUSHA @ HOLCOMB,"-999"
"0","349",GEOA4,-91.7462500000,-91.3337500000,35.1204166666,35.5120833333,FGLWHIAR,GEOA4,278.3898034850,WHITE @ GEORGETOWN,"-999"
"0","350",BTGM6,-90.0712500000,-89.7170833333,34.2588575454,34.5120833333,FGUYAZMS,BTGM6,225.8522992760,L.TALLA-E/BATESVILLE,"-999"
"0","351",CHAM6,-90.0670833333,-89.7795833333,33.8870833333,34.0579166666,FGUYAZMS,CHAM6,116.5902567510,TILLATOBA/CHARLESTON,"-999"
"0","352",LCAL1,-93.1379166666,-92.9004166666,32.6787500000,32.9245834220,FGLOUALA,LCAL1,132.0856237900,LAKE CLAIBORN/AYCOCK,"-999"
"0","353",LKYL1,-93.0795833333,-92.8670833333,32.2495833333,32.5787500000,FGLREDLA,LKYL1,146.4446971330,SALINE BAYOU/LUCKY,"-999"
"0","354",SARM6,-90.3420833333,-89.9337500000,34.4787500000,35.0009865773,FGUYAZMS,SARM6,387.2523743700,COLDWATER NR SARAH,"-999"
"0","355",SHEA4,-92.8129166666,-92.3962500000,34.0537500000,34.6037500000,FGUOUAAR,SHEA4,576.3377218680,SALINE NR SHERIDAN,"-999"
"0","356",RSAM6,-91.1337500000,-90.4962500000,31.2162500000,31.6995833333,FGBIGBMS,RSAM6,610.0911797630,HOMOCHITTO @ ROSETTA,"-999"
"0","357",DSCA4,-92.2504166666,-91.4208426213,34.9037500000,35.3412500000,FGLWHIAR,DSCA4,730.1682430040,WHITE @ DES ARC,"-999"
"0","358",LCOL1,-94.4504166666,-93.9140950272,32.5120833333,33.1912500000,FGUREDLA,LCOL1,710.4721664850,CADDO @ MOORINGSPORT,"-999"
"0","359",DIXL1,-94.2587500000,-93.7879344834,32.6412500000,33.2204166666,FGUREDLA,DIXL1,422.8704718230,TWELVEMILE BYU/DIXIE,"-999"
"0","360",LBBL1,-93.7086000130,-93.3420833333,32.6834023155,33.6662500000,FGLREDLA,LBBL1,662.5558712110,B.BODCAU/BODCAH DAM,"-999"
"0","361",BTAM6,-90.4462500000,-89.8920833333,32.4579166666,32.8579166666,FGBIGBMS,BTAM6,465.8150853090,BIG BLACK/BENTONIA,"-999"
"0","362",CRLL1,-94.2087500000,-93.7795833333,32.3787500000,32.6356423565,FGUREDLA,CRLL1,260.1871468300,CROSS LAKE/SHREVEPRT,"-999"
"0","363",WYNM6,-88.9295833333,-88.6004166666,31.6704166666,31.8870833333,FGPASMS,WYNM6,196.7409905340,CHICK-HAY/WAYNESBORO,"-999"
"0","364",MNEL1,-93.4558113235,-93.0920833333,32.5832749559,33.1079166666,FGLREDLA,MNEL1,506.2368279560,B.DORCHEAT NR MINDEN,"-999"
"0","365",DARL1,-91.0712500000,-90.5545833333,30.8870833333,31.4412500000,FGAMCOLA,DARL1,585.4705116630,AMITE NR DARLINGTON,"-999"
"0","366",PFAA4,-92.1837500000,-91.3670833333,33.9579166666,34.3704166666,FGLARKAR,PFAA4,197.8473066730,ARK/PENDLETON FERRY,"-999"
"0","367",TILM6,-90.1837500000,-89.8587500000,33.9704166666,34.1204166666,FGUYAZMS,TILM6,68.3524702810,TILLATOBA/MOUTH-PQF,"-999"
"0","368",LOGM6,-90.3004166666,-89.9919966934,33.9620833333,34.2995833333,FGUYAZMS,LOGM6,178.0950591640,TALLAHAT-E/LOCOPOLIS,"-999"
"0","369",LBUL1,-93.5587500000,-93.1962500000,32.2912500000,32.7129113295,FGLREDLA,LBUL1,371.6845989360,B.DORCHEAT/BISTINEAU,"-999"
"0","370",NRAL1,-90.6129166666,-90.5295833333,30.7079166666,30.8537500000,FGAMCOLA,NRAL1,30.9262526710,NATALBANY NR AMITE,"-999"
"0","371",OLVL1,-91.1337500000,-90.9504166666,30.7537500000,31.0912500000,FGAMCOLA,OLVL1,149.5067824020,COMITE/OLIVE BRANCH,"-999"
"0","372",SWNM6,-90.5629166666,-90.1962500000,33.8537500000,34.3787500000,FGUYAZMS,SWNM6,373.1881348550,TALLAHAT-E/SWAN LAKE,"-999"
"0","373",MOGM6,-90.3379166666,-90.1587500000,33.6495833333,33.8787500000,FGLYAZMS,MOGM6,100.7672391540,TALLAHATCHIE/MONEY,"-999"
"0","374",MRGM6,-90.8835375674,-90.4587500000,33.8162500000,34.5454166666,FGLYAZMS,MRGM6,565.9337936540,B.SUNFLOWER/MERIGOLD,"-999"
"0","375",BOVM6,-90.7129166666,-90.1712500000,32.3120833333,32.6495833333,FGBIGBMS,BOVM6,438.1342739740,BIG BLACK NR BOVINA,"-999"
"0","376",SVRM6,-89.5962500000,-89.2920833333,30.7162500000,31.0912500000,FGGULFMS,SVRM6,181.6908584480,WOLF @ SILVER RUN,"-999"
"0","377",PHIM6,-90.2295833333,-89.9129166666,33.7495833333,33.9954166666,FGLYAZMS,PHIM6,164.3738063220,TIPPO B. NR PHILIPP,"-999"
"0","378",YWGM6,-90.2254166666,-89.8170833333,33.5870833333,33.8287500000,FGLYAZMS,YWGM6,210.4632524530,YALOBUSHA @ WHALEY,"-999"
