RFC_ID,NWS_loc_ID,MINLON,MAXLON,MINLAT,MAXLAT,NAME
WGRFC,RUGT2,-98.00458,-97.66708,28.92042,29.44542,RUGT2
WGRFC,GLIU,-98.14208,-97.68375,28.73708,29.24958,GLIT2U
WGRFC,LONT2,-95.10875,-94.70042,32.30792,32.62458,LONT2
WGRFC,WHOU,-97.92125,-97.53375,29.25792,29.48708,WHOT2U
WGRFC,LYNT2,-96.90458,-96.52542,30.38292,30.66208,LYNT2
WGRFC,BKL7,-94.33792,-94.07958,31.64125,31.84542,BKLT27
WGRFC,CGNT2,-96.11708,-95.90875,30.58292,30.75375,CGNT2
WGRFC,WBZU,-96.75458,-96.39625,30.64125,31.24958,WBZT2U
WGRFC,LCTTU,-95.85875,-95.47125,30.49125,30.76625,LCTT2U
WGRFC,CLGT2,-96.48375,-96.05458,30.59125,31.02458,CLGT2
WGRFC,BEKT2,-94.72542,-94.35042,32.29542,32.57875,BEKT2
WGRFC,ATBT2,-94.65875,-94.11292,31.49125,31.97458,ATBT2
WGRFC,ALOT2,-95.27958,-94.79208,31.67042,32.00375,ALOT2
WGRFC,ACET2,-98.63792,-98.06292,27.71208,27.99958,ACET2
WGRFC,ATOT2,-95.70458,-95.05458,31.40792,32.02042,ATOT2
WGRFC,HTST2,-97.19625,-96.91708,29.43292,29.64125,HTST2
WGRFC,CFKTU,-95.96708,-95.72542,30.29542,30.65792,CFKT2U
WGRFC,AYIT2,-94.21708,-94.05875,31.39125,31.61625,AYIT2
WGRFC,BKL9,-94.00875,-93.84208,31.97458,32.22458,BKLT29
WGRFC,BKL6,-94.42958,-94.00042,31.80792,31.97042,BKLT26
WGRFC,BKL1,-94.07542,-93.82125,31.34958,31.56208,BKLT21
WGRFC,SOMT2,-97.24625,-96.51292,30.12875,30.46625,SOMT2
WGRFC,BKL3,-94.13375,-93.82958,31.48292,31.70375,BKLT23
WGRFC,WHOM,-97.67958,-97.39625,29.24125,29.46208,WHOT2M
WGRFC,LPTU,-94.65875,-94.14625,32.08292,32.56625,LPTL1U
WGRFC,BKL5,-93.75042,-93.56708,31.71208,32.03708,BKLT25
WGRFC,BKL2,-93.66292,-93.36708,31.49125,31.67042,BKLT22
WGRFC,WHOT2,-97.84625,-97.41708,29.09542,29.29125,WHOT2
WGRFC,LPTL1,-94.49208,-93.97958,31.92042,32.43292,LPTL1
WGRFC,LUFT2,-95.04208,-94.67125,31.43292,31.76625,LUFT2
WGRFC,BKL8,-93.90458,-93.72125,31.90792,32.04125,BKLT28
WGRFC,AICT2,-98.40875,-98.02125,27.75792,28.00792,AICT2
WGRFC,BKL4,-93.67542,-93.44208,31.65792,31.87875,BKLT24
WGRFC,HPDT2,-96.51708,-95.90458,30.08708,30.42875,HPDT2
WGRFC,SBMT2,-97.12542,-96.73792,29.46208,29.82042,SBMT2
WGRFC,EDNU,-97.24208,-96.85042,29.32042,29.54542,EDNT2U
WGRFC,CUET2,-97.64625,-97.27542,29.03292,29.25375,CUET2
WGRFC,WBZT2,-96.67125,-96.15042,30.25375,30.77042,WBZT2
WGRFC,CFKT2,-95.57958,-95.45042,30.22042,30.39542,CFKT2
WGRFC,HBMT2,-95.67958,-95.40042,29.59958,29.74958,HBMT2
WGRFC,GBHT2,-95.43375,-95.30875,29.90375,30.02042,GBHT2
WGRFC,GBLT2,-95.48375,-95.20042,29.82458,30.00792,GBLT2
WGRFC,ADDT2,-95.87125,-95.60042,29.78292,29.94125,ADDT2
WGRFC,BAKT2,-95.94208,-95.64625,29.68708,29.88292,BAKT2
WGRFC,PPTT2,-95.65042,-95.52125,29.71625,29.88292,PPTT2
WGRFC,SPNTU,-95.91708,-95.59208,30.09958,30.36208,SPNT2U
WGRFC,SPNT2,-95.71292,-95.43375,30.03708,30.24542,SPNT2
WGRFC,CTDT2,-98.58375,-98.25875,28.40375,28.70792,CTDT2
WGRFC,SCDT2,-97.67958,-97.22125,28.79542,29.11208,SCDT2
WGRFC,HPDU,-96.37958,-95.92125,30.37042,30.70792,HPDT2U
WGRFC,CUEU,-97.46708,-97.20458,29.11208,29.57458,CUET2U
WGRFC,BKLU,-94.10875,-93.67125,31.54125,32.13708,BKLT2U
WGRFC,RPIL1,-93.45875,-93.15042,30.93708,31.39958,RPIL1
WGRFC,THEU,-98.35458,-97.97958,28.46208,28.85375,THET2U
WGRFC,DIBT2,-95.36708,-94.69625,31.07875,31.70792,DIBT2
WGRFC,LSNT2,-96.77542,-96.65875,29.04542,29.18292,LSNT2
WGRFC,CFKTM,-95.80042,-95.52125,30.21208,30.38292,CFKT2M
WGRFC,SDAT2,-95.51292,-95.29208,30.25375,30.57042,SDAT2
WGRFC,LCTT2,-95.80875,-95.46708,30.30792,30.59542,LCTT2
WGRFC,MADU,-99.04625,-98.59208,26.19542,26.95792,MADT2U
WGRFC,SPAT2,-96.92125,-96.66708,29.31625,29.51208,SPAT2
WGRFC,RMOM,-96.65875,-96.20458,29.83708,30.23292,RMOT2M
WGRFC,FAFT2,-98.92958,-98.13792,27.25375,27.69125,FAFT2
WGRFC,ROKT2,-95.25875,-94.37958,30.84125,31.34958,ROKT2
WGRFC,LTXB,-96.69625,-96.56292,28.97042,29.08708,LTXT2B
WGRFC,LTXT2,-96.60458,-96.40458,28.86625,29.15375,LTXT2
WGRFC,JSPU,-94.81292,-94.20042,31.13708,31.76208,JSPT2U
WGRFC,MADT2,-98.86292,-98.31292,25.70792,26.46208,MADT2
WGRFC,RMOU,-96.35042,-95.94208,29.81625,30.19958,RMOT2U
WGRFC,THET2,-98.65042,-98.17958,27.97458,28.48292,THET2
WGRFC,GNVT2,-96.24625,-96.05458,33.12875,33.32875,GNVT2
WGRFC,PNTU,-96.34208,-96.07958,32.94542,33.24125,PNTT2U
WGRFC,QLAT2,-96.39208,-96.24625,32.84125,33.10792,QLAT2
WGRFC,MRAT2,-96.85875,-96.67542,29.12458,29.39125,MRAT2
WGRFC,NCCT2,-93.95042,-93.77542,30.81208,31.08708,NCCT2
WGRFC,BWRT2,-93.83792,-93.31292,30.77042,31.10792,BWRT2
WGRFC,DWYU,-94.01292,-93.41292,30.53292,30.97458,DWYT2U
WGRFC,GNDT2,-96.53375,-96.32958,29.06625,29.49125,GNDT2
WGRFC,LMCT2,-96.42542,-96.29625,29.05792,29.27458,LMCT2
WGRFC,LTXA,-96.70875,-96.53792,29.02042,29.40375,LTXT2A
WGRFC,LRIS,-97.84208,-97.32125,30.78292,31.05375,LRIT2S
WGRFC,RSAT2,-97.42125,-97.00458,30.62042,30.79125,RSAT2
WGRFC,RLRT2,-97.60875,-96.96708,30.67458,31.08708,RLRT2
WGRFC,CMNT2,-97.08792,-96.86708,30.64542,30.86625,CMNT2
WGRFC,BACT2,-96.28375,-95.96292,28.97042,29.23708,BACT2
WGRFC,MRCT2,-96.07542,-95.92958,28.69958,29.00375,MRCT2
WGRFC,JNCT2,-100.05042,-99.67958,29.98708,30.54958,JNCT2
WGRFC,JJCT2,-99.77125,-99.46292,30.07042,30.44125,JJCT2
WGRFC,MLRU,-99.83375,-99.42958,30.41625,30.80792,MLRT2U
WGRFC,MJRT2,-99.57125,-99.22542,30.24125,30.59958,MJRT2
WGRFC,LFCT2,-99.07542,-98.81292,30.74125,30.98708,LFCT2
WGRFC,DRWT2,-98.29208,-97.97958,30.05792,30.22042,DRWT2
WGRFC,MNGT2,-97.68792,-97.54625,30.29958,30.47875,MNGT2
WGRFC,WWVT2,-97.76292,-97.61708,30.27458,30.46208,WWVT2
WGRFC,ATIT2,-98.02542,-97.68375,30.02458,30.25792,ATIT2
WGRFC,BCKT2,-97.77125,-97.27958,29.85375,30.14542,BCKT2
WGRFC,SMIT2,-97.37958,-97.14208,29.93708,30.23292,SMIT2
WGRFC,EGZT2,-97.37125,-97.22125,30.24125,30.42042,EGZT2
WGRFC,EGYT2,-97.64208,-97.35875,30.22875,30.49958,EGYT2
WGRFC,BRTU,-97.76292,-97.42958,30.09125,30.33292,BRTT2U
WGRFC,BRTT2,-97.47542,-97.21708,30.10375,30.35375,BRTT2
WGRFC,LGRT2,-97.06708,-96.78375,29.89958,30.18708,LGRT2
WGRFC,MLDT2,-97.26292,-97.04208,29.75792,29.91625,MLDT2
WGRFC,FBCT2,-96.91292,-96.52125,29.80792,30.18292,FBCT2
WGRFC,CBST2,-97.14625,-96.44625,29.67458,29.99542,CBST2
WGRFC,MACT2,-99.30042,-99.17958,30.70375,30.85792,MACT2
WGRFC,MWMT2,-99.21292,-99.08375,30.73292,30.88292,MWMT2
WGRFC,LHCT2,-99.05042,-98.77542,30.40792,30.71625,LHCT2
WGRFC,MLRT2,-99.54625,-99.10875,30.49542,30.84542,MLRT2
WGRFC,MBCT2,-99.27125,-98.98792,30.32875,30.64958,MBCT2
WGRFC,LLAU,-99.15875,-98.80458,30.57042,30.87458,LLAT2U
WGRFC,SMSC2,-106.15458,-105.81292,36.86208,37.17875,SMSC2
WGRFC,ORTC2,-106.52125,-106.06292,36.87875,37.11625,ORTC2
WGRFC,SAOC2,-106.35458,-106.01708,36.77042,37.01208,SAOC2
WGRFC,JCIT2,-99.50458,-99.24208,30.08708,30.26625,JCIT2
WGRFC,HNTT2,-99.69625,-99.30875,29.90375,30.16625,HNTT2
WGRFC,KRRT2,-99.32125,-99.15875,30.00375,30.18292,KRRT2
WGRFC,COMT2,-99.32125,-98.88792,29.84125,30.16625,COMT2
WGRFC,NBRT2,-98.29625,-98.08375,29.70792,29.93292,NBRT2
WGRFC,NBCT2,-98.35458,-98.12125,29.60375,29.81208,NBCT2
WGRFC,GBCT2,-98.14625,-98.05042,29.64542,29.74125,GBCT2
WGRFC,LKST2,-98.79625,-98.54625,29.32875,29.72458,LKST2
WGRFC,SMMT2,-98.85458,-98.57542,29.24958,29.52458,SMMT2
WGRFC,SAAT2,-98.79625,-98.46292,29.16625,29.38708,SAAT2
WGRFC,DALT2,-97.32542,-96.76292,32.67458,32.98708,DALT2
WGRFC,DWCT2,-96.84625,-96.66292,32.76625,33.13292,DWCT2
WGRFC,CNLT2,-96.77125,-96.40875,32.63708,33.03292,CNLT2
WGRFC,RSR22,-96.95875,-96.55042,32.53292,32.82875,RSRT22
WGRFC,RSRT1,-96.97542,-96.51292,32.36208,32.59125,RSRT21
WGRFC,RSRT2,-96.65042,-96.37125,32.42042,32.74958,RSRT2
WGRFC,LLAT2,-98.87958,-98.65458,30.61625,30.96208,LLAT2
WGRFC,BUDT2,-98.62125,-98.23375,30.72458,31.08708,BUDT2
WGRFC,MSD23,-98.73792,-98.26292,30.59542,30.96208,MSDT23
WGRFC,KNLT2,-98.98792,-98.45875,30.37458,30.63292,KNLT2
WGRFC,JOCT2,-98.95458,-98.39208,30.10792,30.44125,JOCT2
WGRFC,MSD21,-98.48375,-98.15875,30.13292,30.38292,MSDT21
WGRFC,MSDT2,-98.45042,-97.82542,30.24958,30.67875,MSDT2
WGRFC,ABTT2,-98.18375,-97.80042,30.19125,30.32458,ABTT2
WGRFC,ACRT2,-97.97125,-97.68792,30.19958,30.45792,ACRT2
WGRFC,MSD22,-98.52125,-98.06292,30.42042,30.82042,MSDT22
WGRFC,RYET2,-94.89208,-94.66292,30.44125,30.79542,RYET2
WGRFC,RMYT2,-95.14625,-94.77958,30.39542,30.66625,RMYT2
WGRFC,LIVT2,-94.99208,-94.78792,30.71208,30.95375,LIVT2
WGRFC,LVDT2,-95.40458,-94.96708,30.56625,31.12875,LVDT2
WGRFC,GRIT2,-95.10458,-94.85875,30.53292,30.80375,GRIT2
WGRFC,BVWT2,-96.61292,-96.45458,33.29125,33.51625,BVWT2
WGRFC,MCKT2,-96.75042,-96.52542,33.18708,33.53708,MCKT2
WGRFC,LVNU,-96.78375,-96.62125,33.15375,33.32458,LVNT2U
WGRFC,LVNT2,-96.66708,-96.21708,33.01625,33.52042,LVNT2
WGRFC,LLNCH,-107.75042,-104.55875,26.09125,29.13292,LLNCH
WGRFC,CPCCH,-105.46292,-104.62542,28.34958,29.88708,CPCCH
WGRFC,PIOT2,-104.87542,-104.32542,29.58708,30.44125,PIOT2
WGRFC,PRFT2,-104.47542,-104.21708,29.58708,30.12458,PRFT2
