SiteID	SiteCode	SiteName	Latitude	Longitude	MINLON	MAXLON	MINLAT	MAXLAT	LatLongDat	Elevation_	VerticalDa	LocalX	LocalY	LocalProje	PosAccurac	State	County	Comments	HUC8	DrainageAr
372.0	01372500	WAPPINGER CREEK NEAR WAPPINGERS FALLS NY	41.6531	-73.8731	-73.86512	-73.52517	41.68686	42.03514	3.0	None	None	None	None	None	None	NY	None	Catchment outlet location	02020008	468.8
373.0	03136000	MOHICAN R AT GREER OH	40.5147	-82.1956	-82.75271	-82.02948	40.39875	41.03032	3.0	None	None	None	None	None	None	OH	None	Catchment outlet location	05040002	2455.3
374.0	03238500	WHITEOAK C NR GEORGETOWN OH	38.8581	-83.9286	-84.01084	-83.62507	38.89899	39.24311	3.0	None	None	None	None	None	None	OH	None	Catchment outlet location	05090201	564.6
375.0	03473000	S F HOLSTON RIVER NEAR DAMASCUS, VA	36.6517	-81.8442	-82.00407	-81.31418	36.44038	36.8345	3.0	None	None	None	None	None	None	VA	None	Catchment outlet location	06010102	779.6
376.0	02143040	JACOB FORK AT RAMSEY, N. C.	35.5906	-81.5672	-81.70707	-81.53376	35.54455	35.65121	3.0	None	None	None	None	None	None	NC	None	Catchment outlet location	03050102	66.6
377.0	03281500	SOUTH FORK KENTUCKY RIVER AT BOONEVILLE,KENTUCKY	37.4792	-83.6772	-83.95668	-83.42093	36.87432	37.53088	3.0	None	None	None	None	None	None	KY	None	Catchment outlet location	05100203	1870.0
378.0	03346000	NORTH FORK EMBARRAS RIVER NEAR OBLONG, IL	39.0103	-87.9464	-88.06019	-87.75773	38.92815	39.55973	3.0	None	None	None	None	None	None	IL	None	Catchment outlet location	05120112	823.6
379.0	11138500	SISQUOC RIVER NEAR SISQUOC, CALIF.	34.8397	-120.1672	-120.18573	-119.59582	34.67062	34.96891	3.0	None	None	None	None	None	None	CA	None	Catchment outlet location	18060008	727.8
380.0	02228000	SATILLA RIVER AT ATKINSON, GA.	31.2211	-81.8675	-83.24016	-81.83788	31.03277	31.88098	3.0	None	None	None	None	None	None	GA	None	Catchment outlet location	03070201	7226.1
381.0	06914000	POTTAWATOMIE C NR GARNETT, KS	38.3336	-95.2486	-95.60478	-95.19817	38.06694	38.49855	3.0	None	None	None	None	None	None	KS	None	Catchment outlet location	10290101	865.1
382.0	03180500	GREENBRIER RIVER AT DURBIN, WV	38.5436	-79.8333	-79.87817	-79.54655	38.4199	38.75152	3.0	None	None	None	None	None	None	WV	None	Catchment outlet location	05050003	344.5
383.0	03199000	LITTLE COAL RIVER AT DANVILLE, WV	38.0797	-81.8364	-81.957	-81.4879	37.74501	38.10996	3.0	None	None	None	None	None	None	WV	None	Catchment outlet location	05050009	696.7
384.0	01541000	WEST BRANCH SUSQUEHANNA RIVER AT BOWER, PA	40.8969	-78.6772	-78.93113	-78.58701	40.47793	40.97619	3.0	None	None	None	None	None	None	PA	None	Catchment outlet location	02050201	815.9
385.0	01672500	SOUTH ANNA RIVER NEAR ASHLAND, VA	37.7967	-77.5492	-78.30622	-77.49551	37.67838	38.1933	3.0	None	None	None	None	None	None	VA	None	Catchment outlet location	02080106	1020.5
386.0	07029500	HATCHIE RIVER AT BOLIVAR, TN	35.2753	-88.9767	-89.18626	-88.36721	34.52819	35.42222	3.0	None	None	None	None	None	None	TN	None	Catchment outlet location	08010208	3833.2
387.0	12134500	SKYKOMISH RIVER NEAR GOLD BAR, WASH.	47.8375	-121.6656	-121.71468	-121.04561	47.52005	48.00581	3.0	None	None	None	None	None	None	WA	None	Catchment outlet location	17110009	1385.7
388.0	06817000	Nodaway River at Clarinda, IA	40.7386	-95.0131	-95.11319	-94.41913	40.71652	41.50223	3.0	None	None	None	None	None	None	IA	None	Catchment outlet location	10240009	1973.6
389.0	03186500	WILLIAMS RIVER AT DYER, WV	38.3789	-80.4842	-80.51973	-80.11313	38.18244	38.42657	3.0	None	None	None	None	None	None	WV	None	Catchment outlet location	05050005	331.5
390.0	07261000	CADRON CREEK NEAR GUY, ARK.	35.2989	-92.4028	-92.47068	-92.02657	35.26574	35.5307	3.0	None	None	None	None	None	None	AR	None	Catchment outlet location	11110205	437.7
391.0	05447500	GREEN RIVER NEAR GENESEO, IL	41.4889	-90.1583	-90.24575	-88.90596	41.20403	41.88975	3.0	None	None	None	None	None	None	IL	None	Catchment outlet location	07090007	2597.8
392.0	12098500	WHITE RIVER NEAR BUCKLEY, WASH.	47.1514	-121.9486	-121.93547	-121.35389	46.82433	47.25593	3.0	None	None	None	None	None	None	WA	None	Catchment outlet location	17110014	1038.6
393.0	06892000	STRANGER C NR TONGANOXIE, KS	39.1164	-95.0108	-95.45063	-94.91488	39.06678	39.6192	3.0	None	None	None	None	None	None	KS	None	Catchment outlet location	10270104	1051.5
394.0	11210500	KAWEAH R NR THREE RIVERS CA	36.4067	-118.9533	-118.99426	-118.50433	36.26619	36.75196	3.0	None	None	None	None	None	None	CA	None	Catchment outlet location	18030007	1344.2
395.0	07072000	ELEVENPOINT RIVER NR RAVENDEN SPRINGS, ARK.	36.3467	-91.1133	-92.01497	-91.03345	36.31957	37.05113	3.0	None	None	None	None	None	None	AR	None	Catchment outlet location	11010011	2937.1
396.0	06359500	MOREAU R NEAR FAITH SD	45.1978	-102.1561	-104.02426	-102.11789	44.92001	45.60158	3.0	None	None	None	None	None	None	SD	None	Catchment outlet location	10130306	6889.4
397.0	07346050	LITTLE CYPRESS CREEK NR ORE CITY, TX	32.6725	-94.7508	-95.23529	-94.75785	32.57017	33.02677	3.0	None	None	None	None	None	None	TX	None	Catchment outlet location	11140307	992.0
398.0	11025500	SANTA YSABEL CREEK NEAR RAMONA, CALIF.	33.1069	-116.8653	-116.90708	-116.56297	33.05421	33.26501	3.0	None	None	None	None	None	None	CA	None	Catchment outlet location	18070304	290.1
399.0	05457700	Cedar River at Charles City, IA	43.0625	-92.6731	-93.41191	-92.59703	43.00374	43.96026	3.0	None	None	None	None	None	None	IA	None	Catchment outlet location	07080201	2729.9
400.0	05280000	CROW RIVER AT ROCKFORD, MN	45.0867	-93.7339	-95.30327	-93.56771	44.63264	45.72664	3.0	None	None	None	None	None	None	MN	None	Catchment outlet location	07010204	6526.8
401.0	01048000	SANDY RIVER NEAR MERCER, ME	44.7072	-69.9392	-70.61147	-69.91324	44.46141	45.04299	3.0	None	None	None	None	None	None	ME	None	Catchment outlet location	01030003	1336.4
402.0	03173000	WALKER CREEK AT BANE, VA	37.2681	-80.7097	-81.29045	-80.63388	37.00346	37.32675	3.0	None	None	None	None	None	None	VA	None	Catchment outlet location	05050002	790.0
403.0	01445500	PEQUEST RIVER AT PEQUEST NJ	40.8306	-74.9786	-74.94426	-74.52516	40.73622	41.04284	3.0	None	None	None	None	None	None	NJ	None	Catchment outlet location	02040105	274.5
404.0	07074000	STRAWBERRY RIVER NEAR POUGHKEEPSIE, ARK.	36.1103	-91.4497	-92.0233	-91.41673	35.97379	36.3929	3.0	None	None	None	None	None	None	AR	None	Catchment outlet location	11010012	1225.1
405.0	05546500	FOX RIVER AT WILMOT, WI	42.5111	-88.1792	-88.70433	-88.03943	42.46215	43.20621	3.0	None	None	None	None	None	None	WI	None	Catchment outlet location	07120006	2248.1
406.0	07375500	TANGIPAHOA RIVER AT ROBERT,LA	30.5064	-90.3617	-90.63603	-90.25858	30.483	31.40203	3.0	None	None	None	None	None	None	LA	None	Catchment outlet location	08070205	1673.1
407.0	01534000	TUNKHANNOCK CREEK NEAR TUNKHANNOCK, PA.	41.5583	-75.895	-75.93161	-75.47084	41.46111	41.89687	3.0	None	None	None	None	None	None	PA	None	Catchment outlet location	02050106	992.0
