01435000 NEVERSINK RIVER NEAR CLARYVILLE NY               02040104     66.6 DE  0 NY NY 105 415324N 0743525W 1522.37   0
01437000 NEVERSINK RIVER AT OAKLAND VALLEY NY             02040104      223 DP  2 NY NY 105 412945N 0743848W  632.00   0
01439500 BUSH KILL AT SHOEMAKERS, PA.                     02040104      117 DE  0 PA PA 089 410517N 0750217W  421.13   0
01440000 FLAT BROOK NEAR FLATBROOKVILLE NJ                02040104     64.0 DE  0 NJ NJ 037 410624N 0745709W  347.73   0
01440400 BRODHEAD CREEK NEAR ANALOMINK, PA.               02040104     65.9 DE  0 PA PA 089 410505N 0751254W  586.50   0
01443500 PAULINS KILL AT BLAIRSTOWN NJ                    02040105      126 DE  0 NJ NJ 041 405844N 0745715W  335.86   0
01445000 PEQUEST RIVER AT HUNTSVILLE NJ                   02040105     31.0 DP  1 NJ NJ 037 405852N 0744636W  553.81   0
01445500 PEQUEST RIVER AT PEQUEST NJ                      02040105      106 DE  0 NJ NJ 041 404950N 0745843W  398.78   0
01447500 LEHIGH RIVER AT STODDARTSVILLE, PA.              02040106     91.7 DE  0 PA PA 089 410749N 0753733W 1463.81   0
01459500 TOHICKON CREEK NEAR PIPERSVILLE, PA.             02040105     97.4 DP  2 PA PA 017 402601N 0750701W  258.96   0
01463500 DELAWARE RIVER AT TRENTON NJ                     02040105     6780 DP  4 NJ NJ 021 401318N 0744642W    0.00   0  C
01464500 CROSSWICKS CREEK AT EXTONVILLE NJ                02040201     81.5 DE  0 NJ NJ 021 400815N 0743602W   24.94   0
01466500 MCDONALDS BRANCH IN LEBANON STATE FOREST NJ      02040202     2.35 DE  0 NJ NJ 005 395305N 0743020W  117.73   0 B
01467000 NORTH BRANCH RANCOCAS CREEK AT PEMBERTON NJ      02040202      118 DP  1 NJ NJ 005 395810N 0744105W   31.19   0
01471000 TULPEHOCKEN CREEK NEAR READING, PA.              02040203      211 DP  2 PA PA 011 402208N 0755846W  216.60   0
01475000 MANTUA CREEK AT PITMAN NJ                        02040202     6.05 DE  0 NJ NJ 015 394414N 0750653W   68.51   0
01478500 WHITE CLAY C AB NEWARK DE                        02040205     66.7 DE  1 DE DE 003 394250N 0754535W   78.60   0
01483500 LEIPSIC R NR CHESWOLD, DE                        02040207     9.35 DE  2 DE DE 001 391358N 0753757W   18.00   0
01484000 MURDERKILL R NR FELTON DE                        02040207     13.6 DE  0 DE DE 001 385833N 0753403W   21.87   0
01487000 NANTICOKE R NR BRIDGEVILLE, DE                   02060008     75.4 DP  1 DE DE 005 384345N 0753341W   13.64   0
01488500 MARSHYHOPE C NR ADAMSVILLE DE                    02060008     43.9 DP  1 DE DE 001 385059N 0754024W   28.21   0
01491000 CHOPTANK R NR GREENSBORO, MD                     02060005      113 DP  3 MD MD 011 385950N 0754710W    3.51   0  C
01492000 BEAVERDAM B AT MATTHEWS, MD                      02060005     5.80 DE  0 MD MD 041 384841N 0755815W    2.33   0
01495000 BIG ELK C AT ELK MILLS, MD                       02060002     52.6 ME  6 MD MD 015 393926N 0754920W   68.69   0
01496200 PRINCIPIO C NR PRINCIPIO FURNACE, MD             02060002     9.03 DE  0 MD MD 015 393734N 0760227W  215.00   0
01498500 CHARLOTTE CREEK AT W. DAVENPORT, N.Y.            02050101      167 DE  0 NY NY 025 422642N 0745750W 1170.69   0
01502000 BUTTERNUT CREEK AT MORRIS NY                     02050101     59.7 DE  0 NY NY 077 423243N 0751422W 1096.21   0
01503000 SUSQUEHANNA RIVER AT CONKLIN NY                  02050101     2232 ME  8 NY NY 007 420207N 0754812W  841.04   0  C
01512500 CHENANGO RIVER NEAR CHENANGO FORKS NY            02050102     1483 DP  5 NY NY 007 421305N 0755055W  871.63   0
01514000 OWEGO CREEK NEAR OWEGO NY                        02050103      185 DP  3 NY NY 107 420745N 0761615W  819.82   0
01518000 TIOGA RIVER AT TIOGA, PA  [TIOGA]                02050104      282 DP  3 PA PA 117 415430N 0770747W 1021.00   0
01520000 COWANESQUE RIVER NR LAWRENCEVILLE, PA  [LWRNVL]  02050104      298 DP  3 PA PA 117 415948N 0770825W  983.96   0
01520500 TIOGA RIVER AT LINDLEY NY                        02050104      771 DP  2 NY NY 101 420143N 0770757W  964.50   0
01528000 FIVEMILE CREEK NEAR KANONA NY                    02050105     66.8 DE  0 NY NY 101 422318N 0772129W 1170.30   0
01531000 CHEMUNG RIVER AT CHEMUNG NY                      02050105     2506 DP  2 NY NY 015 420008N 0763806W  778.63   0
01532000 TOWANDA CREEK NEAR MONROETON, PA.         (MNROT 02050106      215 DE  0 PA PA 015 414225N 0762906W  765.53   0
01534000 TUNKHANNOCK CREEK NEAR TUNKHANNOCK, PA.  [TUNKCR 02050106      383 DE  0 PA PA 131 413330N 0755342W  610.50   0
01538000 WAPWALLOPEN CREEK NEAR WAPWALLOPEN, PA.          02050107     43.8 DE  0 PA PA 079 410333N 0760538W  752.41   0
01539000 FISHING CREEK NEAR BLOOMSBURG, PA.  [BLOOMS]     02050107      274 DE  0 PA PA 037 410441N 0762553W  543.84   0
01541000 WEST BRANCH SUSQUEHANNA RIVER AT BOWER, PA [BOWE 02050201      315 DE  0 PA PA 033 405349N 0784038W 1207.14   0
01541500 CLEARFIELD CREEK AT DIMELING, PA  [DIMLNG]       02050201      371 DP  2 PA PA 033 405818N 0782422W 1146.08   0
01543500 SINNEMAHONING CREEK AT SINNEMAHONING, PA  [SINNA 02050202      685 DE  0 PA PA 023 411902N 0780612W  769.36   0
01545600 YOUNG WOMANS CREEK NEAR RENOVO, PA.              02050203     46.2 DE  0 PA PA 035 412322N 0774128W  780.00   0 B
01547700 MARSH CREEK AT BLANCHARD, PA.                    02050204     44.1 DE  0 PA PA 027 410334N 0773622W  586.16   0
01548500 PINE CREEK AT CEDAR RUN, PA  [CEDRRN]            02050205      604 DE  0 PA PA 081 413118N 0772652W  780.36   0
01549500 BLOCKHOUSE CREEK NEAR ENGLISH CENTER, PA.        02050205     37.7 DE  0 PA PA 081 412825N 0771352W 1041.85   0
