StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGA,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
09063200,Ref,TRUE,24.9,3.64,39.511697,-106.287171,68.23,0.31,57.5,231.7,183.8,132.2,14,7,347.2,66.6,0.102,0,9.49,3.9,439,79.02,0.53,0.11,19.41,22.28,32.72,22.43,22.57,0.07,6.99,1.47,0.54,5.38,50.36,60.46,23.69,11.39,31.91,56.69,0.12,33.92,3324,0.594,29.1,329.8,0.864,-0.504,0.9,18.19,20.81,14.35,15.05,3.808147153,20.86,916
09063400,Ref,TRUE,61.8,3.44,39.532374,-106.294379,72,0.45,57.6,232.7,182.7,129.8,13.6,7,350.2,65.3,0.125,0,9.54,4.1,429.3,81.08,0.26,0.21,17.12,19.39,35.73,21.43,23.45,0.07,6.26,1.49,0.42,5.47,50.75,62.35,24.16,11.16,31.48,57.36,0.12,32.99,3296,0.59,29.8,304.3,0.564,-0.826,1.29,19.76,22.39,14.15,16.01,3.744075201,20.95,976
09065500,Ref,TRUE,37.8,2.91,39.632115,-106.221041,78.14,0.09,56,231.4,186.5,125.5,12.6,7,342.2,61.6,0.125,0,9.72,2.4,357.6,41.81,22.82,0.28,24.19,23.39,32.56,22.56,21.49,0.08,7.43,1.45,0.79,5.32,50.55,59.68,23.92,12.12,32.19,55.69,0.12,31.36,3416,0.553,40.8,231.5,-0.622,-0.783,1.63,21.32,24.3,15.35,17.21,3.631243203,20.95,1426
09066000,Ref,TRUE,32.4,2.53,39.578425,-106.232198,71.57,0.25,56.7,231.1,185.4,129.2,13.1,7.1,344.7,64.8,0.12,0,9.65,7.9,413,59.2,2.23,0.02,30.33,10.32,57.77,15.17,16.74,0.09,6.09,1.39,2.66,5.51,56.35,67.54,30.69,18.58,31.55,49.87,0.17,32.19,3250,0.427,27.5,267.2,-0.048,-0.999,2.89,19.51,21.88,14.36,15.8,3.736925608,20.93,1070
09066100,Ref,TRUE,11.8,2.7,39.659519,-106.261141,81.41,-0.28,56.4,232.2,187.8,124.4,12.9,7,342.1,60.8,0.131,0,9.49,3.2,329.6,35.4,28.34,0.43,28.55,23.74,31.26,22.91,22.09,0.07,7.36,1.46,0.61,5.33,50.18,59.51,23.48,11.55,32.13,56.32,0.11,31.71,3414,0.585,48.1,236.8,-0.548,-0.837,2.22,22.87,24.56,15.24,18.27,3.549889114,21.02,1324
09066150,Ref,TRUE,14,2.34,39.676677,-106.281698,79.27,-0.14,57,234.1,185.4,122.1,12.3,7,333.9,61.1,0.123,0,9.61,3.3,371.3,36.93,23.56,0.6,30.03,24.33,30.67,23.11,21.89,0.07,7.52,1.46,0.64,5.31,50.11,59.12,23.4,11.61,32.22,56.16,0.11,32.85,3394,0.593,47.3,209.1,-0.874,-0.486,2.09,22.61,23.44,15.26,18.08,3.581856058,21,1356
09066200,Ref,TRUE,16.1,3.18,39.67951,-106.312635,73.24,0.01,57.6,236.8,181.9,122.2,12.1,7,337.2,61.5,0.094,0,8.75,3.2,399,44.12,10.41,1.5,34.29,21.73,33.27,22.24,22.76,0.07,6.84,1.47,0.51,5.4,50.43,60.83,23.77,11.33,31.83,56.84,0.12,33.39,3358,0.581,43.2,181,-1,-0.017,1.45,20.25,20.85,15.12,16.91,3.589362548,21.03,1411
09066300,Ref,TRUE,15.5,2.51,39.678393,-106.358629,65.67,0.66,58.1,240.3,176.8,120.9,12.3,7,357,61.1,0.063,0,8.97,5.1,490.6,85.27,2.9,2.06,7.97,19.17,35.83,21.39,23.61,0.07,6.18,1.49,0.39,5.48,50.74,62.5,24.14,11.06,31.44,57.5,0.12,33.74,3205,0.564,31,230.8,-0.632,-0.775,0.82,17.56,18.32,14.65,15.49,3.545413996,21.11,1262
09066400,Ref,TRUE,19,3.2,39.703898,-106.375806,68.13,0.27,58.5,240.1,179.2,120.6,12.1,7,353.6,61.3,0.086,0,9.3,5.7,477.2,80.6,3.47,0.03,13.22,18.77,36.23,21.26,23.74,0.07,6.08,1.49,0.37,5.5,50.79,62.76,24.2,11.02,31.38,57.61,0.12,35.23,3129,0.338,23.6,264.6,-0.095,-0.996,2.08,18.63,19.23,14.28,15.95,3.573167051,21.1,954
09068000,Ref,FALSE,185.2,2.24,39.490826,-106.710263,66.13,2.14,55.4,235.2,182.2,103.1,10.5,6.3,396,56.4,0.126,0,9.49,10,306.1,76.74,6.16,4.25,11.61,5.64,52.79,33.75,7.83,0.08,3.59,1.37,0.8,5.83,51.72,63.34,30.17,18.64,36.1,45.27,0.15,20.52,3026,0.427,32.2,342.3,0.953,-0.304,1.14,17.81,20.51,12.95,14.87,3.562990504,21.73,1780
