StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
08050800,Ref,TRUE,100.9,2.2,33.632968,-96.987368,100.7,17.09,64,313.8,84.5,70.8,8,5,976.8,0.077,2.6,20.4,12.88,498.3,197.5,31.71,18.42,0.01,0,40.74,18,0.43,1.21,29.84,56.9,12.05,0.16,1.28,1.49,0.34,5.94,48.94,95.3,58.94,34.68,27.89,37.44,0.3,294.84,232,0.382,2.1,151.4,-0.878,0.478,18.08,31.44,21.71,29.46,1.785691837,23.33,89
08050840,Ref,TRUE,75.7,3.2,33.556557,-96.756391,103.94,17.26,64,314.4,83,74.3,8.4,5,982.2,0.062,3.7,11.2,13.05,751.8,232.2,6.16,55.31,0.03,0.23,33.78,17.39,37.93,0,5.15,2.11,92.73,0.15,0.92,1.47,1.34,5.2,58.11,96.5,81.64,44.5,42.14,13.36,0.38,305.36,225,0.338,0.9,250.2,-0.338,-0.941,19.44,31.55,22.67,30.28,1.717610528,23.28,71
08066200,Ref,TRUE,364.1,2.63,30.839734,-94.90345,133.88,18.89,71.4,314.8,77.9,89.2,9,6,1018.2,0.007,4.7,12.2,12.54,258.2,366.7,33.24,12.12,0.2,10.67,10.7,12.06,0.06,0.11,20.72,21.2,57.97,0.15,1.75,1.39,0.49,3.24,59.75,97.55,69.36,38.19,33.62,28.19,0.35,392.81,78,0.45,2.3,202.2,-0.926,-0.378,33.47,33.61,31.45,35.44,1.203603831,18.92,100
08066300,Ref,TRUE,383.6,1.51,30.606545,-94.778318,135.7,18.94,71.2,317.6,75.3,93.6,9.4,6,1016.4,0.003,5.8,9.8,13.06,343,393.9,35.4,4.3,0.14,16.42,10.78,4.3,0,0.65,50.23,37.35,4.62,0.15,2.38,1.52,0.15,3.16,60,96.27,54.12,22.53,34.42,43.05,0.3,412.4,67,0.389,1.2,175.1,-0.996,0.085,33.29,34.39,32.66,35.35,1.205430162,18.48,113
08068780,Ref,TRUE,114.1,1.73,30.071011,-95.831152,117.89,19.9,71.1,335,62.1,69.4,7,4.8,1068,0.045,3.5,9.3,13.34,533.8,259,8.36,66.96,0.98,3.36,2.9,50.42,16.54,0.63,1.89,76,8.84,0.15,1.67,1.55,0.5,2.33,60,94.34,58.33,21.82,40.56,37.62,0.31,358.6,65,0.487,0.1,145.5,-0.824,0.567,26.07,29.53,27.77,34.68,1.152281624,18.33,39
08070000,Ref,TRUE,841.1,1.43,30.582703,-95.294678,128.77,19.14,71,323.3,71.9,92.2,9.3,6,1030.5,0.015,5.3,9.4,12.67,266,340.2,47.6,12.76,0.16,7.41,7.46,12.39,0.37,0.35,38.98,29.97,29.88,0.14,2.73,1.45,0.41,3.19,60,95.98,57.37,30.33,30.05,39.62,0.29,370.45,90,0.466,1.8,134.2,-0.698,0.716,30.9,32.16,30.11,35.53,1.15050192,18.65,118
08070200,Ref,TRUE,989.4,0.95,30.53392,-95.267215,129.82,19.17,71,323.8,70.8,92.1,9.3,6,1031.5,0.015,5.3,9.8,12.65,331.1,346,45.72,11.34,0.18,7.81,8.19,11.02,0.32,0.3,37.62,30.14,29.14,0.14,2.72,1.47,0.39,2.95,60,96.16,57.22,28.34,31.82,39.84,0.3,373.3,85,0.5,1.5,138.9,-0.754,0.657,30.98,32.44,30.48,35.88,1.149813616,18.57,136
08079600,Ref,TRUE,3348.9,0.77,33.247707,-101.852165,50.42,15.55,53.8,306.8,94.3,52.9,6.4,3,871.7,0.344,0,17.5,13.46,895.3,26.6,0.3,57.18,0.86,16.24,18.69,0,57.18,0.58,75,12.54,11.89,0.14,1.45,1.5,0.42,5.89,59.46,97.13,61.45,29.77,34.45,35.78,0.27,116.34,938,0.567,0.8,115.2,-0.425,0.905,5.44,11.89,19.13,13.94,3.6291033,22.17,455
08081200,Ref,FALSE,758.8,1.29,33.492189,-100.649879,58.65,16.7,56.2,312.3,89.6,48.7,5.8,2.4,950.3,0.294,0,16.8,12.02,321.1,31.3,2.24,1.29,0.22,80.69,14.38,0,1.29,3.68,44.92,50.84,0.56,0.16,1.75,1.48,0.64,6,58.31,99.14,67.2,21.38,47.45,31.18,0.34,148.29,642,0.352,4.5,141.7,-0.784,0.62,6.72,16.06,20.28,15.77,3.416965503,23.33,352
08082180,Ref,FALSE,649.1,1.49,33.46517,-100.272225,61.92,17.02,57.3,312.5,89.6,51.6,6,3,975.4,0.266,0,24.7,12.36,737.3,34.1,10.69,1.26,0.03,83.42,4.17,0,1.26,0,23.41,41.52,35.07,0.15,1.01,1.47,0.86,6,51.53,96.39,76.71,35.57,45.75,18.68,0.34,157.32,537,0.379,3.3,124.9,-0.572,0.82,7.62,17.14,20.14,17.05,3.512799289,23.62,227
