StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGA,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
11282000,Ref,TRUE,187.3,1,37.868371,-119.78224,117.04,10.43,61.2,296.2,134,67.5,10.7,609.9,28.2,0.566,3.3,1.4,9.73,15.5,773.1,80.92,0.81,14.93,2.76,1.02,58.97,4.11,35.9,0.08,5.48,1.39,1.17,5.76,54.44,77.27,28.26,11.49,27.44,61.07,0.16,104.77,2012,0.556,17.3,296.6,0.447,-0.894,61.25,31.84,3.17,20.54,1.337593743,16.06,2064
11283500,Ref,TRUE,375.7,1.9,38.065578,-119.994825,116.82,9.32,60.5,286.8,144.4,66.2,9.7,572.3,31.6,0.544,3.3,2.4,10.12,16.1,798.5,79.58,2.31,17.16,0.8,0.74,63.5,11.83,23.93,0.1,3.86,1.28,1.53,5.99,42.33,78.83,35.68,16.58,32.32,51.09,0.2,114.08,1766,0.494,22.4,223,-0.731,-0.682,57.42,32.82,3.52,23,1.45868749,16.96,2082
11284400,Ref,TRUE,41.7,2.83,37.815462,-120.142861,99.19,12.5,61.2,296.3,128.7,56.8,9.5,687.5,9.8,0.591,4.5,4.9,10.65,129.2,589.5,53.92,0,37.88,5.7,0,11,67,22,0.13,1.31,1.29,0.88,6,34.07,78.62,46.98,25.84,39.31,34.85,0.25,102.49,947,0.389,13.6,20.7,0.936,0.353,51.27,27.18,1.67,19.08,1.243890042,17.03,424
11292500,Ref,TRUE,174.8,2.01,38.410508,-119.762054,130.38,4.43,61.6,256.2,176.5,91.4,13,422.7,68.9,0.488,2.2,1,9.61,4.2,884.1,53.43,5.91,39.55,1.06,1.66,56.73,1.03,40.58,0.08,5.71,1.25,1.63,5.85,46.53,69.43,27.9,11.74,32.14,56.12,0.15,155.22,2532,0.491,35.3,256.6,-0.232,-0.973,61.45,34.93,7.49,26.54,3.67099174,16.84,1742
11299600,Ref,TRUE,37.3,1.98,37.993889,-120.611544,71.97,15.41,59.2,318.4,95,55.9,8.7,834,2,0.583,3.4,2.9,10.39,337.7,295,36.01,0,13.99,48.72,0,2.9,10.94,86.16,0.14,1.39,1.45,1.17,6,18.45,80.75,54.09,26.34,47.83,25.83,0.27,63.34,423,0.401,14.1,223.9,-0.721,-0.693,36.42,20.09,1.17,14.22,1.25191508,17.98,479
11315000,Ref,TRUE,54,1.88,38.559242,-120.141925,141.09,7.1,61,270.9,162.1,90,12.6,503.7,50,0.499,2.1,0.3,9.72,5.2,892.6,55.16,3.84,39.15,1.63,0,33.6,2.99,63.41,0.06,7.15,1.38,1.69,5.22,58.46,62.61,20.54,7.43,28.88,63.68,0.11,144.25,2302,0.486,19.4,215.5,-0.814,-0.58,65.3,39,5.87,31,1.888444316,16.88,1006
11334300,Ref,FALSE,166.3,1.8,38.536896,-120.611384,111.31,13.9,59.4,314.4,108.8,69.5,10.9,762,8.9,0.556,2.5,3.4,11.16,85.1,697.9,74.83,0,16.36,6.78,0.42,59.91,26.28,13.4,0.13,1.56,1.22,1.18,6,46.87,82.13,49.32,25.57,39.52,34.9,0.2,109.65,915,0.483,16.7,264.5,-0.095,-0.995,54.55,31.22,2.41,23.09,1.205159718,18,1117
11337500,Ref,FALSE,110.5,1.86,37.869233,-121.833799,55.99,15.12,64.2,337.2,68,54.9,9.1,783.7,0.3,0.61,0,3.7,10.44,145.4,147.9,47.24,0.01,9.26,40.11,0.09,5.45,32.35,62.12,0.14,1.3,1.46,1.6,5.99,26.96,89.53,63.55,29.05,45.42,25.52,0.31,34.93,340,0.26,22.4,74.6,0.265,0.964,30.03,14.05,0.57,11.22,1.216039494,13.98,1086
11355500,Ref,TRUE,312.8,2.22,40.600519,-121.509394,126.13,7.29,57.7,258.5,168.8,91.5,12.1,509,48.1,0.459,0.1,0.2,10.7,62.7,853.5,76.84,4.03,17.2,0.24,18.28,63.32,6.98,11.42,0.15,3.62,1.09,1.26,5.94,49.2,52.22,25.21,12.35,40.27,47.38,0.17,101.17,1769,0.244,14.4,72,0.31,0.951,55.41,35.83,6.35,28.57,2.172793855,17.61,1850
11364300,Ref,FALSE,79.7,1.62,40.845202,-121.804292,157.94,10.23,56.7,268.6,153.4,92.2,12.9,614.9,34.3,0.48,3.2,1,10.47,70.9,1221.7,38.98,0.65,52.16,6.44,1,98,0,1,0.13,1.63,1.12,1.59,6,52.65,83.04,51.48,26.25,40.53,33.22,0.13,210.84,1388,0.332,15.7,271.1,0.02,-1,70.46,44.33,6.01,37.15,1.42351858,18.16,981
11371000,Ref,TRUE,298.4,1.82,40.820173,-122.59735,147.56,12.77,62.6,304.4,105.9,101,14.3,726.4,17.3,0.548,3.7,2.1,10.13,12.7,1295,72.33,0.02,23.59,2.06,0.09,34.26,27.22,38.42,0.1,1.59,1.39,1.15,5.93,35.4,59.1,35.62,22.15,43.94,33.92,0.19,274.16,997,0.468,37.4,182,-0.999,-0.035,71.89,40.45,3.98,31.11,1.145860366,19.41,1263
