StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
09484580,Ref,FALSE,37.3,2.62,31.839904,-110.731303,59.91,16.41,39.8,318.8,88.7,65.1,13.3,1,860.1,0.6,0.232,7.9,10.07,137.6,59.1,8.18,0,91.08,0.15,54.59,1.14,44.27,0.11,2.05,1.35,0.14,40.82,75.17,40.02,25.02,34.73,40.25,0.15,118.54,1518,0.329,12.6,86.7,0.058,0.998,14.76,7.17,24.37,13.67,0.810321646,17.47,569
09484600,Ref,TRUE,1179.6,1.77,31.866471,-110.591497,48.41,16.17,40.7,311.5,99.9,60.4,12.3,1,855.8,0.6,0.268,8.4,11.1,598.6,39.3,7.94,0.09,89.8,1.12,23.95,40.42,35.63,0.13,1.01,1.36,0.39,44.72,72.46,41,27.42,35.7,36.88,0.18,86.88,1403,0.236,9.8,348.6,0.98,-0.198,10.98,5.46,20.27,11.68,-0.524922719,17.9,1824
09487000,Ref,TRUE,2027.5,1.87,31.769258,-111.418257,44.29,17.47,39,315,99,50,10.7,0.7,928.8,0,0.289,5.2,11.5,365.9,27.7,1.91,0.07,96.32,0.73,55.06,8.91,34.94,0.1,3.24,1.34,0.24,46.77,69.8,32.83,20.14,33.38,46.49,0.17,66.47,1086,0.201,7.7,56.4,0.554,0.833,9.99,4.68,19.3,10.35,-1.407076746,18.4,1559
09489100,Ref,FALSE,813.5,1.59,33.79746,-109.360439,72.96,6.33,42.9,259.7,166.1,87.9,15,3.5,463.1,32.9,0.14,9.6,11.12,216.1,209.4,83.66,0.03,0.3,15.19,76.74,15.58,7.68,0.1,1.26,1.37,0.28,59.83,74.83,44.32,33.4,30.04,36.56,0.19,69.11,2631,0.391,12.1,190.1,-0.984,-0.175,19.56,12.51,22.02,18.85,1.672599258,18.21,1380
09489700,Ref,FALSE,296.1,1.67,33.88122,-109.571205,79.64,6.65,41.1,263,164.8,86.9,13.9,3.3,480.9,34.1,0.113,15,10.94,529.4,270.9,97.85,0.09,1.2,0.5,98.68,0.3,1.02,0.11,1.02,1.2,1.07,37.75,76.5,46.47,24.02,45.04,30.94,0.23,75.7,2459,0.402,19.7,216.5,-0.803,-0.595,21.54,14,24.87,19.18,2.21410006,18.68,1641
09492400,Ref,TRUE,129,1.71,33.869757,-109.709955,90.77,5.58,42.1,259.8,170.4,88.9,14,3.3,451.4,38.7,0.093,-9999,10.26,7,380,98.77,0.06,0.58,0.41,99.43,0.34,0.23,0.09,5.07,1.38,0.14,48.75,76.07,45.57,23.6,44.75,31.65,0.24,93.21,2541,0.431,21.9,245.4,-0.416,-0.909,24.34,17.8,27.2,21.58,3.419990431,18.66,1641
09494000,Ref,TRUE,1628.2,1.79,33.920504,-109.837676,73.91,8.42,40.5,271.6,154.1,81.3,13.3,2.8,554,29.5,0.11,17.1,10.59,283,255.5,82.36,0.08,12.55,3.28,69.11,28.77,2.13,0.13,0.67,1.41,0.31,44.93,80.16,52.29,27.94,44.08,27.99,0.26,81.99,2180,0.396,14.3,254.9,-0.261,-0.965,19.25,13.99,22.62,18.04,3.326112196,19.49,2144
09497700,Ref,FALSE,79.4,1.62,34.207582,-110.585839,67.24,10.12,45,282.4,140.1,80.1,11.7,2,610.1,18.9,0.143,-9999,10.2,296,135.8,88.87,0.23,7.91,2.81,0,67.37,32.63,0.14,0.27,1.35,0.4,32,81.91,49.05,30.83,38.49,30.68,0.21,78.57,2070,0.636,21.6,104.3,-0.246,0.969,19.66,13.26,16.68,17.66,1.336398702,20.32,626
09497800,Ref,TRUE,750.9,1.91,34.044385,-110.508344,58.79,11.82,40.7,287.5,133.6,71.3,11.1,2,676.3,12.1,0.147,9.1,10.42,44.9,77.4,66.64,0.25,31.14,1.49,6.78,48.7,44.52,0.12,0.91,1.5,0.06,58.21,79.28,49.59,29.33,42.37,28.3,0.19,63.57,1715,0.558,19.4,174.9,-0.996,0.088,16.6,10.81,15.72,15.67,1.302090568,20.36,1319
09497980,Ref,TRUE,516.8,1.21,34.032094,-110.885003,68.36,11.86,41,289.9,135.2,69.3,10.3,2,673.1,9.8,0.135,1.3,10.57,23.9,120.5,67.87,0.04,31.25,0.29,24.01,55.59,20.4,0.1,3.03,1.36,0.53,40.62,77.26,38.23,22.54,34.63,42.83,0.13,62.08,1666,0.501,19.9,174.9,-0.996,0.089,20.43,13.31,17.5,17.14,1.308982036,19.94,1372
