StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,HGBD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
02298488,Ref,TRUE,69.9,1.87,27.474702,-82.116041,134.55,22.5,71,358,37.1,88.9,14,3,1159.9,0,0.336,5,0,13.62,93.4,281.2,0,46.52,2.02,1.14,3.64,39.33,7.19,2.99,0,15.97,17.73,61.29,0.09,11.72,1.48,3.11,1.16,59.13,99.52,9.16,4.42,4.84,90.74,0.1,565.45,28,0.485,0.2,175.4,-0.997,0.08,40.71,19.22,22.76,61.76,30.8,4.562676876,11.18,33
02298495,Ref,TRUE,11.4,2.27,27.387716,-82.111325,133.53,22.5,71,358,36.6,93.4,14.4,3,1160.5,0,0.336,5,0,13.17,160.2,275.2,0,72.27,0.06,2.26,0.37,13.26,59.01,1.78,0,19.53,7.95,69.96,0.08,11.64,1.52,1.36,1.32,59.1,99.81,7.98,3.16,4.86,91.98,0.1,576.55,18,0.5,0,233.8,-0.59,-0.807,24.45,18.95,22.77,61.08,30.74,4.571963883,11.17,10
02298530,Ref,TRUE,15.2,2.33,27.43191,-82.193817,135.04,22.5,71,358,35.8,92.6,14.7,3,1159.2,0,0.335,6,0,14.52,118.9,291.5,0,53.81,0.05,1.16,1.54,13.77,40.04,1.67,0,18.42,9.65,69.38,0.08,11.55,1.51,1.5,1.27,59.13,99.69,8.51,3.69,4.89,91.42,0.1,571.8,22,0.5,0.2,177.3,-0.999,0.048,43.44,19.46,22.55,61.91,31.1,4.592135462,11.15,14
02298554,Ref,TRUE,211.1,1.48,27.429736,-82.152369,134.89,22.5,71.1,358,36.4,91.8,14.5,3,1159.6,0,0.336,5.2,0,13.95,116.5,289.3,0,47.26,0.8,2.13,2.53,27.63,19.63,2.16,0,16.01,15.33,65,0.08,11.52,1.5,2.41,1.16,59.17,99.48,9.43,4.64,4.91,90.46,0.1,572.88,22,0.343,0.1,170.3,-0.986,0.169,41.89,19.31,22.67,61.89,30.99,4.587640768,11.18,35
02298608,Ref,TRUE,312.3,1.31,27.405803,-82.131557,134.25,22.51,71.1,358,36.6,92.6,14.6,3,1159.9,0,0.337,5.1,0,14.05,119.9,283.9,0,51.9,0.66,2.21,2.34,35.67,16.23,2.03,0,16.88,12.99,66.88,0.09,11.56,1.49,2.91,1.2,59.16,99.59,9.07,4.26,4.9,90.84,0.1,574.45,22,0.378,0.1,199.4,-0.943,-0.333,38.73,19.13,22.72,61.52,30.88,4.582121198,11.17,37
02299950,Ref,TRUE,174.3,1.8,27.548865,-82.144553,135.31,22.5,71.3,358,37.2,85.6,13.4,3,1160.5,0,0.337,5.2,0.5,13.98,97.8,281.1,1.41,31.97,1.95,2.36,2.24,17.51,14.46,5.56,0,22.69,3.05,68.68,0.07,11.94,1.53,0.27,1.64,58.7,100,7.12,2.34,4.78,92.88,0.1,559.73,33,0.545,0.2,175.2,-0.997,0.083,58.6,19.38,22.65,62.31,30.98,4.538438981,11.24,33
02300700,Ref,TRUE,73.8,2.53,27.760258,-82.312714,132.48,22.41,72.1,359.1,34,95.4,15,3,1157.3,0,0.316,5.1,2,13.18,88.4,263.9,0.03,48.72,0.6,1.21,2.11,8.97,39.74,0.43,0,5.84,13.75,79.98,0.09,11.27,1.48,2.68,0.98,57.89,100,8.07,3.63,4.44,91.92,0.1,549.17,24,0.486,0.3,270.8,0.014,-1,31.24,20.32,22.28,59.13,30.73,4.676510036,11.48,37
02301990,Ref,TRUE,238.9,1.21,28.234488,-82.130221,135.04,22.21,72.1,357.7,34.2,102.8,15.9,4,1148.9,0,0.274,5.2,1.4,13.94,242.8,259.1,3.8,22.18,0.66,6.81,1.21,18.38,3.8,29.13,0.35,13.91,12.98,43.63,0.08,10.62,1.53,0.97,2.45,58.88,99.69,12.74,7.26,5.64,87.1,0.1,520.68,28,0.224,0.8,303.8,0.556,-0.831,37.17,22.35,24.74,56.96,30.94,4.411737522,11.88,58
02310147,Ref,TRUE,9.3,2.58,28.158319,-82.686644,132.59,22.2,73.5,359,35.3,99,15,4,1147.3,0,0.262,4.7,2,14.42,217.8,263.9,0.5,5.41,0.4,3.73,0.73,5.41,0,0.96,0,3.27,20.05,74.94,0.08,11.22,1.5,1.55,0.88,57.79,99.81,8.58,4.25,4.37,91.38,0.1,538.58,5,0.2,0.1,266.4,-0.062,-0.998,47.64,23.06,23.59,54.55,31.41,-1.374959978,11.93,15
02310947,Ref,TRUE,649.6,1.38,28.28784,-81.846723,129.78,22.29,72.3,358.5,36,104.5,16,4.4,1153.8,0,0.284,6.5,1.4,15.07,355,214.5,2.59,26.16,0.37,2.79,1.01,24.93,1.23,4.83,0.12,1.83,19.62,73.6,0.11,10.37,1.39,8.41,0.9,59.07,99.74,13.71,8.28,5.54,86.18,0.1,515.77,36,0.355,0.1,305.2,0.576,-0.817,62.52,20.61,24.1,55.03,30.02,4.326074002,11.93,31
