StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
07375000,Ref,TRUE,249.3,1.34,30.776158,-90.264272,168.05,18.89,72,315.9,76.9,102.3,12,5,1004.2,0.075,7.9,11.6,12.75,404.7,639.2,22.9,24.45,0.04,18.13,5.03,18.77,5.69,0,31.44,57.47,11.08,0.14,1.24,1.56,0.41,3.43,98.99,59.87,22.48,39.78,37.74,0.31,602.2,60,0.506,1.7,172.1,-0.991,0.137,25.54,44.51,46.36,43.63,33.54,1.340323701,17.67,77
07375800,Ref,TRUE,227.5,1.78,31.045665,-90.642832,167.33,18.49,72,314.8,77.6,101.9,11.9,5,984.6,0.076,8.7,9.7,12.97,274.2,637,38.04,16.77,0.01,19.96,4.54,13.3,3.47,0.84,41.82,45.57,10.08,0.15,1.65,1.54,0.35,3.86,98.88,63.42,21.75,44.66,33.6,0.35,580.39,100,0.554,1.7,176.8,-0.998,0.056,16.77,46.09,45.93,40.53,34.76,1.351965822,17.71,65
07375960,Ref,TRUE,570.2,1.15,30.915934,-90.65894,167.57,18.64,71.9,314.4,76.1,105.6,12.3,5.1,990.8,0.067,8.4,11.5,12.96,369.3,660.5,34.53,14.03,0.05,19.55,5.33,10.81,3.22,0.34,40.15,47.81,11.03,0.15,1.44,1.53,0.44,3.8,99.46,64.27,22.68,43.73,33.59,0.37,590.21,79,0.495,1.7,164.7,-0.964,0.265,22.13,45.42,45.65,41.06,35.45,1.331697384,17.63,103
07376000,Ref,TRUE,651.6,0.8,30.878037,-90.657644,167.61,18.71,71.9,315.1,75.2,106.2,12.4,5.1,994.7,0.065,8.3,11.5,12.99,466.9,660.2,32.97,13.6,0.05,18.92,5.25,10.42,3.18,0.32,36.95,46.52,15.56,0.15,1.42,1.53,0.45,3.58,99.3,64.68,22.54,44.3,33.16,0.37,593.14,73,0.536,1.5,170.6,-0.987,0.164,24.62,45.21,45.47,41.5,35.44,1.327769468,17.6,125
07376500,Ref,TRUE,205.2,0.9,30.699148,-90.553645,168.99,19.1,72,317,70.9,104.3,12.2,5,1016.4,0.057,8.3,12.5,13.5,786.8,660,20.07,19.03,0.69,18.46,6.97,15.44,3.59,0,19.15,44.36,36.49,0.15,1.26,1.51,0.51,2.55,98.12,64.66,22.14,45.03,32.84,0.37,607.98,35,0.357,0.7,153.9,-0.898,0.439,26.91,44.49,45.52,43.39,35.58,1.339393071,17.41,84
07377000,Ref,TRUE,1525.3,1.34,31.165532,-90.8063,164.8,18.3,72.1,314.9,77.9,103.5,12,4.8,975.9,0.085,5.9,13.4,12.72,370.7,630.5,44.82,13.29,0.07,16.3,5.34,11.26,2.03,1.17,30.1,54.74,11.65,0.16,1.47,1.5,0.28,3.24,97.5,71.08,20.57,53.9,25.53,0.41,566.79,110,0.604,1.8,156.9,-0.92,0.392,16.35,46.26,45.34,38.84,34.37,1.361169307,17.81,106
07381800,Ref,FALSE,179,1.22,31.099684,-92.637367,157.28,18.53,72.9,315,72.1,99.6,10,5.2,996.5,0.057,6.3,11.4,12.97,399.9,588.9,53.57,2.86,0.51,14.07,3.21,2.86,0,1.62,60.01,9.19,29.05,0.16,1.65,1.5,0.74,4.72,99.79,65.9,27,41.24,31.77,0.34,526.49,57,0.621,1.5,138.8,-0.752,0.659,21.67,42.95,40.91,35.28,38.13,1.180745694,18.9,58
08013000,Ref,TRUE,1293.7,1.31,31.226505,-92.946035,153.47,18.55,72,314.2,75.6,93.9,9.5,5.9,997,0.071,5.8,11.3,13.08,444,541.7,51.91,2.92,0.14,15.12,7.44,2.91,0.01,3.18,28.7,15.44,52.28,0.17,1.65,1.49,0.95,3.54,99.38,70.76,28.92,43.32,27.77,0.36,503.48,74,0.362,1.5,103.3,-0.231,0.973,18.29,43.19,40.22,34.03,36.03,1.241063991,18.9,105
08014500,Ref,TRUE,1305.1,2.03,30.948777,-92.983867,156.67,18.74,72.5,316.6,72.6,98.6,10.2,6,1004.7,0.047,5.8,12.3,13.21,607.5,570.5,51.09,3.34,0.26,15.55,6.43,3.2,0.14,4.23,29.38,28.62,37.19,0.17,1.72,1.51,0.78,3.06,99.57,69.69,24.82,45.86,29.32,0.37,522.92,57,0.353,1.5,156.1,-0.914,0.405,17.96,43.02,39.44,36.63,37.56,1.189913175,18.7,119
08016800,Ref,FALSE,457.1,0.98,30.535855,-93.537233,152.22,19.09,73.5,319.9,68.3,96.3,9.9,5.3,1017.2,0.012,5.1,14.6,13.84,1509.1,518.4,44.05,1.53,0.02,16.92,13.05,1.45,0.07,0.9,15.28,39.41,44.11,0.19,0.84,1.51,0.76,2.23,99.8,76.47,24.38,52.63,22.99,0.44,515.3,28,0.412,0.4,186.6,-0.993,-0.116,22.5,39.91,35.61,38.81,37.88,1.132118499,18.03,51
