StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
06295250,Ref,TRUE,2071.2,1.68,45.526618,-106.862151,42.81,6.74,57.5,255.7,146.6,80.2,10.2,4.9,583.3,21.4,0.236,0,26.6,10.98,69.9,26.6,26.4,1.51,0.26,44.56,23.92,0.27,1.23,6.05,52.74,21.99,19.22,0.14,1.82,1.4,0.77,6,47.38,80.58,56.36,23.14,51.42,25.45,0.32,25.83,1179,0.394,11.3,38.8,0.779,0.627,2.73,5.89,14.19,12.72,10.13,3.088706012,26.94,677
06297000,Ref,FALSE,214.3,2.16,44.691721,-107.45402,73.56,-0.31,58.6,226.3,193.5,108.1,11.7,6,346.9,59.2,0.131,0.4,0.2,10.53,35.2,377.1,67.95,0,0,19.47,11.19,0,0,4.83,22.93,46.38,25.86,0.1,3.61,1.42,0.56,6,37.83,62.07,28.64,17.2,30.9,51.9,0.23,46.36,2678,0.376,13,353.7,0.994,-0.109,0.34,14.39,26.16,15.79,17.2,3.62123357,21.38,943
06298500,Ref,FALSE,63.5,2.54,44.775065,-107.345857,66.62,2.63,58.8,241.5,175,99.1,10.9,5.3,416.9,48.2,0.189,0.5,0.1,9.7,29.8,247.5,78.45,0.01,0.11,9.77,10.21,0.01,0,1.44,13.95,31.99,52.61,0.11,2.22,1.33,0.81,6,29.65,70,39.84,21.26,38.66,40.08,0.24,34.73,2345,0.654,24.1,42.9,0.733,0.681,0.24,10.63,24.85,16.11,14.82,3.366789536,21.72,1519
06299500,Ref,FALSE,97.5,2.21,44.716227,-107.313375,67.23,1.73,59.7,240.9,178.7,99.9,11.1,5.4,393.2,51.7,0.161,0,0.1,9.63,18.2,284.9,82.07,0,0.01,11.91,5.76,0,0,3.64,23.93,34.37,38.06,0.09,3.42,1.41,0.54,6,36.22,62.24,28.44,17.55,31.49,50.96,0.23,37.96,2467,0.639,24,61.1,0.484,0.875,0.25,11.65,24.65,15.41,15.51,3.381370369,21.46,1703
06300500,Ref,FALSE,50.9,2.79,44.492904,-107.259883,78.72,-0.78,58.6,241.5,183.7,102.3,11.6,5.4,332.7,64.9,0.118,0.3,0,9.98,8.2,500.1,58.09,0,0.01,19.44,22.14,0,0,11.3,12.49,13.68,62.54,0.07,4.21,1.4,0.71,6,34.35,43.24,17.91,9.94,37.9,52.15,0.13,54.78,2929,0.405,24.9,46.7,0.686,0.728,0.32,14.75,28.59,15.61,19.67,3.958657076,20.99,976
06301480,Ref,FALSE,9.1,2.06,44.589486,-107.34889,78.47,-0.72,59.7,236.5,187.8,103.2,11.4,5.4,333.9,61.2,0.122,1,0,9.96,13.2,427.5,65.45,0,0.06,19.8,13.7,0,0,10.68,18.24,14.46,56.62,0.07,4.3,1.41,0.73,6,35.74,45.62,19.12,10.44,37.85,51.72,0.14,50.32,2834,0.302,18.2,89,0.018,1,0.99,15.14,28.34,15.63,19.04,3.760297571,21.44,659
06309200,Ref,TRUE,117.5,2.69,43.542895,-107.185377,63.23,3.23,55,260.6,158.3,85.6,10.6,5,432.7,44.4,0.162,0,2.1,10.36,47.6,248.6,15.45,0,0,25.37,58.26,0,0,0,23.95,35.83,40.22,0.13,1.88,1.3,1.05,6,33.66,78.08,46.38,22.12,40.2,37.67,0.25,64.83,2480,0.531,10.4,72.8,0.296,0.955,0.92,10.57,24.41,12.77,15.5,2.981583349,23.08,516
06311000,Ref,TRUE,61.2,2,44.094981,-107.08661,64.65,1.3,55.1,252.7,169,90.2,11,5.2,381.5,51.1,0.166,0,0,10.51,16.4,226.8,55.9,0,0,17.47,25.5,0,0,5.13,30.47,39.18,25.23,0.09,4.21,1.45,0.43,6,40.95,58.08,21.79,14.76,27.07,58.17,0.22,54.86,2730,0.351,10.4,235.1,-0.572,-0.82,0.92,11.41,23.67,14.77,14.84,3.307569149,22.17,656
06315500,Ref,FALSE,211.9,2.5,44.07655,-106.947006,50.54,2.9,55.7,257.5,158.7,87.2,11,5.8,418.7,39,0.25,0,0.3,10.8,30.7,112.3,62.36,0,0,22.52,14.74,0,0,4.35,30.01,37.25,28.39,0.09,3.75,1.42,0.54,6,40.17,61.94,27.4,16.56,30.74,52.7,0.22,44.96,2436,0.526,14.7,104.4,-0.248,0.969,0.38,6.31,18.2,14.8,11.25,3.167941822,21.94,1607
06321500,Ref,FALSE,91.1,1.99,44.537542,-107.041414,62.71,2.84,58.5,253.5,162.9,95.7,10.9,5.4,425.4,42.4,0.169,0.4,0,9.7,36.8,172.8,86.47,0,0.02,7.82,5.62,0,0,4.33,33.74,28.15,33.78,0.09,4,1.42,0.56,6,39.08,60.01,26.22,15.91,32.34,51.76,0.21,36.63,2386,0.464,19.3,79.2,0.188,0.982,0.06,9.34,22.47,15.3,15.69,3.36001325,21.26,1660
