StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGAD,HGC,HGD,HGCD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
01130000,Ref,TRUE,598,1.65,44.611692,-71.353592,119.03,4.41,69,255.5,151.3,142.7,13.5,10.2,512.9,37.1,0.072,2.9,1.1,10.79,25.9,669.2,90.11,0.46,0.05,3.05,1.61,0.12,0.34,15.24,13.39,0.53,59.69,4.72,6.44,0.13,3.95,1.36,1.84,4.12,52.37,78.6,36.43,5.31,45.61,49.08,0.22,97.55,554,0.28,15,69.4,0.352,0.936,3.37,25.53,28.2,34.48,30.77,3.428557095,27.79,977
01134500,Ref,TRUE,195.1,2.09,44.575317,-71.798137,119.33,4.52,67.6,257.7,151.2,151.4,14.6,10.7,519.5,34.9,0.105,2.3,1.8,10.88,87.3,602.1,90.4,0.16,0,4.13,0.18,0.11,0.05,0,2.17,0,70.62,22.03,5.17,0.17,2.36,1.29,1.14,3.91,44.42,83.27,44.7,6.5,51.52,41.97,0.32,90.34,534,0.281,12.6,202.2,-0.926,-0.377,4.35,24.27,27.26,36.21,31.63,3.350918764,28.32,708
01135000,Ref,FALSE,334.3,1.47,44.526571,-71.844497,113.42,4.9,67.2,260.1,149.7,147.8,14.4,10.4,533,34.1,0.111,2.2,1.9,11.16,66.4,549.8,86,3.36,0.13,3.86,0.3,2.43,0.93,0,7.56,0,70.03,15.23,7.17,0.16,2.28,1.34,1.04,3.91,46.09,82.98,44.69,6.4,52.07,41.53,0.3,85.26,451,0.308,12.5,203.4,-0.918,-0.396,3.27,22.82,25.78,34.81,30.02,3.262214811,28.42,856
01135150,Ref,TRUE,10.1,2.43,44.486091,-72.149385,116.72,3.8,69.5,259.8,151.7,140.9,14.8,10,495.3,35.7,0.117,2,4,9.95,80,563.3,81.68,13.86,0,1.1,0.17,9.99,3.88,0,39.12,0,42.48,18.4,0,0.13,1.29,1.43,1.63,3.72,48.45,82.67,51.56,7.79,59.54,32.67,0.29,90.09,495,0.376,11.1,102.2,-0.211,0.978,0.22,23.63,26.03,36.89,30.73,3.361176697,28.74,386
01135300,Ref,TRUE,111.1,3.02,44.474549,-72.109048,107.24,4.48,68.2,262,149.8,137.2,14.2,9.7,516,34.2,0.113,2,3.8,10.88,74.8,487.2,77.18,14.53,0,2.09,0.31,8.16,6.37,1.28,33.74,0,45.53,19.45,0,0.13,1.56,1.4,1.69,3.62,49.33,84.03,50.83,7.72,57.71,34.57,0.28,82.62,396,0.368,10.4,90,0,1,0.73,21.62,24.34,33.14,28.22,3.171549273,28.76,543
01137500,Ref,TRUE,228.6,2.04,44.253142,-71.46682,139.2,4.08,72.8,255.2,151.6,162.2,15.5,11.7,493.6,43.3,0.063,1.9,0.4,10.19,16.6,1103.7,90.75,0,1.66,2.41,0.69,0,0,19.64,7.87,0.66,46.74,11.36,13.73,0.18,4.29,1.21,2.81,4.58,46.02,78.08,40.62,6.36,49.19,44.45,0.24,132.92,700,0.217,19.2,280.3,0.179,-0.984,0.53,29.76,33.6,39.18,37.1,3.875739415,26.75,1548
01138000,Ref,FALSE,1026.3,1.46,44.21587,-71.73094,112.53,5.22,69.4,260.9,146,146.2,13.8,10.1,535.2,35.6,0.104,2.1,0.2,10.61,18.8,686.8,86.72,2.95,0.54,2.86,0.62,1.6,1.35,18.94,12.28,0.72,47.93,8.7,11.43,0.13,4.74,1.33,2,4.33,48.99,78.14,36.39,5.31,45.63,49.06,0.21,95.14,442,0.171,14.9,290.3,0.346,-0.938,1.38,22.37,26.16,33.69,30.13,3.539508377,27.76,1774
01139000,Ref,TRUE,246.3,1.92,44.218332,-72.21703,109.6,4.99,66.7,262.7,147.7,133.9,13.3,9.3,529.4,33,0.113,2,1.9,11.05,33.3,487.4,83.19,6.06,0.12,3.1,0.24,3.42,2.64,2.68,35.16,0,34.93,27.24,0,0.15,2.54,1.3,3.66,3.62,52.11,87.21,46.84,7.02,50.83,42.15,0.25,79.38,404,0.297,11.2,59.1,0.514,0.858,3.37,22.03,24.82,33.86,28.86,3.143756473,28.49,880
01139800,Ref,TRUE,22.8,3.13,44.094747,-72.369384,116.16,4.8,65,257,153.3,130.8,12.2,9.2,518.9,34,0.09,2,2.1,9.67,18.1,529.8,93.72,1.63,0,1.78,0.18,0,1.63,2.71,43.82,0,30.92,22.55,0,0.13,2.68,1.32,1.84,4.36,48.93,87.2,46.27,7.09,49.93,42.98,0.26,81.32,551,0.517,18,105.3,-0.264,0.965,0.2,24.39,26.71,34.23,30.83,3.160134932,28,373
01141800,Ref,TRUE,12.3,2.08,43.705012,-72.170574,107.91,6.26,68,265.9,144.5,122,11.7,8,564,32,0.079,2,1,9.43,24.8,537.2,88.57,7.31,0,1.08,0.16,6.01,1.3,5.76,22.94,0,50.26,6.85,14.18,0.14,3.1,1.38,0.94,4.6,40.29,80.81,47.56,6.71,58.22,35.07,0.23,83.54,437,0.329,12.1,257.6,-0.214,-0.977,0.61,22.27,26.03,30.63,28.81,2.850811466,27.28,389
