StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,HGBD,HGCD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
05420560,Ref,TRUE,249.8,1.24,43.400235,-92.583221,87.23,7.18,72,275.5,124.4,92.8,10,5,642.4,16.4,0.337,1.7,5,12.9,224.8,221.4,2.69,79.81,0.04,0,8.46,5.39,74.41,0.85,69.2,5.37,0,24.45,0.14,0.17,3.07,1.55,2.07,4.01,59.76,93.76,55.25,21.64,39.44,38.92,0.26,152.97,387,0.5,1,211.5,-0.853,-0.522,2.64,7.61,24.16,35.42,20.08,3.099339917,32.02,80
05420680,Ref,TRUE,897,1.1,43.191633,-92.462535,89.02,7.5,71.8,276.3,123.4,93.6,10,5,651.2,16.7,0.329,1.9,5.7,12.82,250.5,232.2,2.35,78.31,0.04,0,8.4,4.6,73.72,0.83,70.89,4,0,24.2,0.08,0.17,3.24,1.55,2.09,4,59.76,93.6,54.65,21.34,39.19,39.47,0.25,157.44,356,0.427,1.1,205.9,-0.899,-0.437,3.68,7.94,24.83,35.86,20.41,3.029035143,31.76,124
05423000,Ref,FALSE,112.6,1.49,43.723672,-88.713429,79.74,7.36,71,278.6,127.3,102,10,5.9,626.4,18.7,0.279,1,4,13.13,622.6,177.3,1.51,71.38,0.04,0.28,0.73,11.65,59.74,0,81.24,0.29,0.34,6.87,0,0.2,1.64,1.4,8.25,4.48,59.39,90.78,71.97,22.03,59.9,18.07,0.33,121.07,286,0.328,0.6,121.4,-0.522,0.853,21.13,8.61,20.26,30.08,20.74,2.754067562,30.22,64
05432695,Ref,FALSE,49.2,2.69,42.969656,-89.959737,89.68,7.41,70,274.9,128,99.6,10,6,630.5,18.3,0.269,1,14.8,11.64,96,259.9,19.52,71.05,0.02,1.54,1.73,48.01,23.03,0,88.39,1.39,9.68,0.54,0,0.17,1.1,1.38,1.24,5.85,35.8,94.44,85.11,32.71,57.91,9.37,0.31,138.87,331,0.582,6.6,132.6,-0.677,0.736,0.08,10.42,23.93,34.22,21.15,2.812189954,30.22,98
05432927,Ref,FALSE,49.7,2.5,42.885991,-89.757018,89.31,7.59,69.8,275,127,97.4,9.8,5.8,635.7,18,0.265,1,14.9,11.92,134.4,257.3,21.13,70.17,0,1.93,2.46,42.81,27.36,0,87.52,0.52,11.14,0.83,0,0.17,1.04,1.36,1.56,5.86,35.74,93.41,84.91,33.28,58.32,8.4,0.29,140.43,328,0.583,6.6,228.5,-0.662,-0.749,0.42,10.53,23.64,33.83,21.35,2.780347882,30.12,103
05435000,Ref,FALSE,3.5,2.59,42.457247,-89.839548,89.28,8.2,70,279,123.2,98,10,5,656.7,17.3,0.27,1,19.9,11.13,353.2,242,0.23,95.96,0,0,0.79,1.65,94.31,0,97.38,1.81,0.41,0.4,0,0.2,1.25,1.35,1.22,5.66,57.09,99.32,95,29.11,66.57,4.32,0.32,146.6,292,0.387,1,45.4,0.702,0.712,0,10.24,23.92,32.98,22.16,2.728681949,29.78,31
05444000,Ref,TRUE,376.4,2.31,42.016517,-89.664972,92.46,8.62,69.7,279.8,121.3,99.8,10,6,669.3,18,0.221,2.1,6.2,12.56,263.4,275.8,4.93,88.28,0.02,0,0.02,5.37,82.91,0,84.84,5.07,0,10.09,0,0.2,1.31,1.37,1.18,4.16,60,99.79,95.92,27.94,68.62,3.44,0.31,152.19,255,0.43,2.4,198.7,-0.947,-0.321,0.06,12.46,25.7,32.09,22.21,2.538107379,29.65,121
05451210,Ref,TRUE,580.5,1.24,42.439467,-93.425345,86.09,8.22,69.8,276,122.6,88.2,10.1,4.1,673.6,14.8,0.34,3.8,2.7,13.59,513.9,189.7,1.85,88.32,0.02,0,2.04,2.69,85.63,0.01,50.09,0.04,1.93,45.97,1.1,0.18,1.7,1.45,2.88,3.37,60,96.85,65.31,25.61,43.34,31.05,0.25,162.44,351,0.653,0.8,95.1,-0.09,0.996,1.03,7.36,23.96,35.25,19.54,2.941480211,31.28,95
05454000,Ref,TRUE,65.4,2.18,41.727095,-91.433268,92.02,9.53,69.6,278.7,115.5,96.6,11,6,711.4,14.7,0.28,2,7.6,12.38,119.6,239.1,10.14,77.74,0.04,0,6.1,19.88,57.86,3.19,87.81,3.73,2.47,2.81,0,0.19,1.63,1.38,1.07,5.49,59.45,99.69,92.2,27.14,65.57,7.29,0.32,162.47,243,0.583,2.8,207.3,-0.889,-0.458,0.48,9.93,25.97,34.32,21.81,2.725749248,30.16,60
05458000,Ref,TRUE,776.8,1.03,43.348935,-92.679909,87.16,7.36,71.9,275.9,123.8,92.4,10,5,649.6,16.5,0.338,1.4,5.4,12.83,323.1,219.1,3.03,82.09,0.02,0,6.95,4.42,77.67,0.72,64.99,8.74,0.15,25.11,0.3,0.17,2.84,1.54,2.05,3.84,59.62,94.13,58.33,22.57,41.51,35.92,0.26,154.73,365,0.478,1,214.9,-0.82,-0.572,1.41,7.56,24.19,35.42,20.01,3.036713571,31.96,138
05464220,Ref,TRUE,775.2,1.41,42.241202,-92.622465,89.17,8.1,70.1,275.1,122.9,92.5,11,5,662.3,15.2,0.318,1.9,2.9,12.94,432.2,231.1,1.26,89.25,0,0,2.11,2.98,86.28,0.5,82.55,2.68,2.51,9.34,2.42,0.2,1.32,1.36,1.77,4.55,59.89,99.64,94.04,28.84,65.76,5.39,0.3,166.08,304,0.557,1.7,147.2,-0.84,0.542,0.62,8.32,24.8,35.29,20.76,2.871776096,30.99,88
05466500,Ref,TRUE,1151.6,1.37,41.251737,-90.441153,92.59,9.87,69.4,282.2,113.3,98.5,10,5.8,716.7,15.7,0.216,1.9,7.6,13,417.2,245.9,10.03,83.44,0,0,0.02,7.55,75.89,0.69,70.4,12.44,0.6,15.88,0,0.19,1.37,1.39,1.07,3.82,59.62,99.34,90.84,27.3,64.93,7.77,0.32,160.38,229,0.624,2,274,0.069,-0.998,0.49,12.53,26.15,31.84,22.08,2.495748345,29.23,101
05467000,Ref,TRUE,448.6,1.08,41.159952,-90.572544,92.34,10.06,69.3,281.8,112.4,96.9,10,5.9,723.1,15.4,0.22,1.9,8.5,13.25,539.6,234.1,12.71,80.34,0.01,0.02,0.04,7.97,72.37,0.36,77.15,8.02,0.79,13.66,0.02,0.2,1.25,1.38,0.99,3.91,59.78,99.55,94.08,27.69,67.34,4.96,0.32,161.94,225,0.586,1.8,213.5,-0.834,-0.552,0.3,12.36,26.17,31.83,21.98,2.493005057,29.23,99
